section,base,grade,suffix_axis,count,pct_of_base_grade
cosmo/zodiac,qok,e,e_grade,16,45.71
cosmo/zodiac,qok,e,aspect,9,25.71
cosmo/zodiac,qok,e,clitic,1,2.86
cosmo/zodiac,qok,e,other,9,25.71
cosmo/zodiac,qok,o,o_grade,10,76.92
cosmo/zodiac,qok,o,paradigm,2,15.38
cosmo/zodiac,qok,o,other,1,7.69
cosmo/zodiac,qok,eo,o_grade,3,18.75
cosmo/zodiac,qok,eo,aspect,7,43.75
cosmo/zodiac,qok,eo,other,6,37.50
cosmo/zodiac,qot,bare,e_grade,4,18.18
cosmo/zodiac,qot,bare,paradigm,6,27.27
cosmo/zodiac,qot,bare,clitic,7,31.82
cosmo/zodiac,qot,bare,other,5,22.73
cosmo/zodiac,qot,e,e_grade,3,25.00
cosmo/zodiac,qot,e,aspect,5,41.67
cosmo/zodiac,qot,e,other,4,33.33
cosmo/zodiac,qot,o,o_grade,1,33.33
cosmo/zodiac,qot,o,other,2,66.67
cosmo/zodiac,qot,eo,o_grade,1,50.00
cosmo/zodiac,qot,eo,other,1,50.00
cosmo/zodiac,ok,bare,e_grade,12,8.16
cosmo/zodiac,ok,bare,paradigm,20,13.61
cosmo/zodiac,ok,bare,clitic,54,36.73
cosmo/zodiac,ok,bare,other,61,41.50
cosmo/zodiac,ok,e,e_grade,45,30.00
cosmo/zodiac,ok,e,aspect,28,18.67
cosmo/zodiac,ok,e,clitic,8,5.33
cosmo/zodiac,ok,e,other,69,46.00
cosmo/zodiac,ok,o,e_grade,1,1.67
cosmo/zodiac,ok,o,o_grade,16,26.67
cosmo/zodiac,ok,o,aspect,7,11.67
cosmo/zodiac,ok,o,paradigm,1,1.67
cosmo/zodiac,ok,o,other,35,58.33
cosmo/zodiac,ok,eo,e_grade,11,13.75
cosmo/zodiac,ok,eo,o_grade,13,16.25
cosmo/zodiac,ok,eo,aspect,16,20.00
cosmo/zodiac,ok,eo,other,40,50.00
cosmo/zodiac,ot,bare,e_grade,20,12.50
cosmo/zodiac,ot,bare,paradigm,23,14.38
cosmo/zodiac,ot,bare,clitic,50,31.25
cosmo/zodiac,ot,bare,other,67,41.88
cosmo/zodiac,ot,e,e_grade,56,36.60
cosmo/zodiac,ot,e,aspect,21,13.73
cosmo/zodiac,ot,e,clitic,4,2.61
cosmo/zodiac,ot,e,other,72,47.06
cosmo/zodiac,ot,o,e_grade,7,10.29
cosmo/zodiac,ot,o,o_grade,19,27.94
cosmo/zodiac,ot,o,aspect,4,5.88
cosmo/zodiac,ot,o,paradigm,1,1.47
cosmo/zodiac,ot,o,clitic,3,4.41
cosmo/zodiac,ot,o,other,34,50.00
cosmo/zodiac,ot,eo,e_grade,11,9.91
cosmo/zodiac,ot,eo,o_grade,11,9.91
cosmo/zodiac,ot,eo,aspect,23,20.72
cosmo/zodiac,ot,eo,clitic,1,0.90
cosmo/zodiac,ot,eo,other,65,58.56
herbal-A,ch,bare,e_grade,300,34.97
herbal-A,ch,bare,o_grade,7,0.82
herbal-A,ch,bare,aspect,72,8.39
herbal-A,ch,bare,paradigm,67,7.81
herbal-A,ch,bare,clitic,83,9.67
herbal-A,ch,bare,other,329,38.34
herbal-A,ch,e,e_grade,177,38.65
herbal-A,ch,e,o_grade,1,0.22
herbal-A,ch,e,aspect,73,15.94
herbal-A,ch,e,paradigm,8,1.75
herbal-A,ch,e,clitic,18,3.93
herbal-A,ch,e,other,181,39.52
herbal-A,ch,o,e_grade,89,8.00
herbal-A,ch,o,o_grade,527,47.39
herbal-A,ch,o,aspect,47,4.23
herbal-A,ch,o,paradigm,1,0.09
herbal-A,ch,o,clitic,3,0.27
herbal-A,ch,o,other,445,40.02
herbal-A,ch,eo,e_grade,16,10.88
herbal-A,ch,eo,o_grade,71,48.30
herbal-A,ch,eo,aspect,15,10.20
herbal-A,ch,eo,clitic,1,0.68
herbal-A,ch,eo,other,44,29.93
herbal-A,sh,bare,e_grade,100,44.05
herbal-A,sh,bare,aspect,17,7.49
herbal-A,sh,bare,paradigm,22,9.69
herbal-A,sh,bare,clitic,17,7.49
herbal-A,sh,bare,other,71,31.28
herbal-A,sh,e,e_grade,91,42.72
herbal-A,sh,e,aspect,42,19.72
herbal-A,sh,e,paradigm,7,3.29
herbal-A,sh,e,clitic,7,3.29
herbal-A,sh,e,other,66,30.99
herbal-A,sh,o,e_grade,111,24.45
herbal-A,sh,o,o_grade,186,40.97
herbal-A,sh,o,aspect,23,5.07
herbal-A,sh,o,paradigm,2,0.44
herbal-A,sh,o,other,132,29.07
herbal-A,sh,eo,e_grade,19,27.14
herbal-A,sh,eo,o_grade,22,31.43
herbal-A,sh,eo,aspect,10,14.29
herbal-A,sh,eo,other,19,27.14
herbal-A,qok,bare,e_grade,24,22.22
herbal-A,qok,bare,aspect,2,1.85
herbal-A,qok,bare,paradigm,31,28.70
herbal-A,qok,bare,clitic,37,34.26
herbal-A,qok,bare,other,14,12.96
herbal-A,qok,e,e_grade,23,25.27
herbal-A,qok,e,aspect,46,50.55
herbal-A,qok,e,paradigm,1,1.10
herbal-A,qok,e,other,21,23.08
herbal-A,qok,o,e_grade,3,5.08
herbal-A,qok,o,o_grade,34,57.63
herbal-A,qok,o,aspect,6,10.17
herbal-A,qok,o,other,16,27.12
herbal-A,qok,eo,o_grade,7,58.33
herbal-A,qok,eo,aspect,3,25.00
