section,from_comm,to_comm,count,probability
rosettes,C4,C0,2,0.09090909090909091
rosettes,C4,C1,9,0.4090909090909091
rosettes,C4,C2,11,0.5
stars,C0,C0,218,0.2517321016166282
stars,C0,C1,338,0.3903002309468822
stars,C0,C2,179,0.2066974595842956
stars,C0,C3,94,0.10854503464203233
stars,C0,C4,37,0.042725173210161664
stars,C1,C0,307,0.14681970349115256
stars,C1,C1,1054,0.5040650406504065
stars,C1,C2,414,0.19799139167862267
stars,C1,C3,234,0.11190817790530846
stars,C1,C4,82,0.0392156862745098
stars,C2,C0,144,0.14984391259105098
stars,C2,C1,310,0.3225806451612903
stars,C2,C2,362,0.37669094693028093
stars,C2,C3,106,0.11030176899063475
stars,C2,C4,39,0.04058272632674298
stars,C3,C0,80,0.14010507880910683
stars,C3,C1,246,0.4308231173380035
stars,C3,C2,130,0.2276707530647986
stars,C3,C3,90,0.15761821366024517
stars,C3,C4,25,0.043782837127845885
stars,C4,C0,38,0.16740088105726872
stars,C4,C1,100,0.44052863436123346
stars,C4,C2,51,0.22466960352422907
stars,C4,C3,23,0.1013215859030837
stars,C4,C4,15,0.06607929515418502
