section,trajectory,count
herbal-A,C0 -> C0 -> C4,5
balneo,C1 -> C1 -> C2 -> C1 -> C2,5
cosmo/zodiac,C0 -> C2,5
herbal-A,C1 -> C2,5
herbal-A,C0 -> C1 -> C1,5
stars,C0 -> C0 -> C0,5
herbal-A,C0 -> C0 -> C3,5
stars,C1 -> C1 -> C1 -> C1 -> C1,5
balneo,C1 -> C0 -> C1 -> C1,5
herbal-A,C0 -> C4 -> C0,5
herbal-A,C0 -> C4,5
pharm-herbal,C1 -> C0,5
herbal-A,C1 -> C0 -> C2,5
pharm-herbal,C0 -> C2,5
stars,C0 -> C0,5
herbal-A,C0 -> C0 -> C0 -> C1,5
stars,C1 -> C1 -> C0,5
herbal-A,C1 -> C0 -> C0 -> C0,5
herbal-A,C0 -> C3 -> C0,5
balneo,C1 -> C1 -> C2 -> C1,5
herbal-A,C0 -> C4 -> C0 -> C0,5
stars,C2 -> C0,5
stars,C0 -> C3,5
balneo,C1 -> C0,5
balneo,C1 -> C1 -> C1 -> C0,4
balneo,C1 -> C2 -> C2,4
balneo,C3 -> C1 -> C1 -> C1,4
herbal-A,C3 -> C0 -> C0,4
balneo,C1 -> C3,4
herbal-A,C0 -> C0 -> C0 -> C2 -> C2,4
herbal-A,C0 -> C0 -> C0 -> C1 -> C0,4
herbal-A,C0 -> C0 -> C0 -> C0 -> C0 -> C2,4
balneo,C1 -> C0 -> C2,4
herbal-A,C2 -> C0 -> C2,4
herbal-A,C4 -> C0,4
herbal-A,C1 -> C1 -> C1 -> C2,4
herbal-A,C0 -> C0 -> C4 -> C0,4
herbal-A,C0 -> C2 -> C2 -> C2,4
cosmo/zodiac,C1 -> C0,4
herbal-A,C4 -> C2,4
pharm-herbal,C0 -> C1 -> C0 -> C0,4
pharm-herbal,C1 -> C0 -> C0 -> C0,4
rosettes,C0 -> C1 -> C0,4
rosettes,C1 -> C1 -> C1,4
stars,C1 -> C0 -> C1 -> C1,4
balneo,C0 -> C1 -> C1,4
stars,C1 -> C1 -> C2 -> C2,4
herbal-A,C0 -> C2 -> C0 -> C0,4
balneo,C1 -> C2 -> C1 -> C1,4
balneo,C1 -> C2 -> C1 -> C1 -> C1,4
stars,C2 -> C1 -> C2,4
herbal-A,C1 -> C2 -> C2 -> C2,4
stars,C3 -> C1 -> C3,4
stars,C3 -> C2,4
herbal-A,C2 -> C0 -> C0 -> C2,4
herbal-A,C0 -> C2 -> C1 -> C0,3
herbal-A,C4 -> C0 -> C2,3
pharm-herbal,C0 -> C0 -> C3,3
balneo,C1 -> C0 -> C1 -> C1 -> C1,3
balneo,C1 -> C1 -> C1 -> C1 -> C1 -> C2,3
herbal-A,C0 -> C0 -> C0 -> C1 -> C0 -> C0,3
cosmo/zodiac,C1 -> C1,3
cosmo/zodiac,C2 -> C1 -> C1,3
herbal-A,C0 -> C2 -> C2 -> C0,3
balneo,C2 -> C1 -> C4 -> C1,3
herbal-A,C1 -> C3,3
herbal-A,C0 -> C0 -> C2 -> C0 -> C2,3
cosmo/zodiac,C1 -> C2,3
herbal-A,C0 -> C1 -> C0 -> C2,3
herbal-A,C1 -> C0 -> C1,3
cosmo/zodiac,C2 -> C2,3
balneo,C1 -> C1 -> C1 -> C1 -> C1 -> C1 -> C1,3
pharm-herbal,C0 -> C1 -> C0,3
balneo,C1 -> C1 -> C0 -> C1,3
balneo,C1 -> C3 -> C1 -> C1 -> C1,3
balneo,C1 -> C3 -> C1 -> C1,3
pharm-herbal,C0 -> C3 -> C0,3
pharm-herbal,C0 -> C3 -> C0 -> C0,3
pharm-herbal,C0 -> C0 -> C1,3
pharm-herbal,C1 -> C0 -> C0,3
herbal-A,C2 -> C1 -> C2,3
pharm-herbal,C1 -> C0 -> C1,3
pharm-herbal,C2 -> C0,3
herbal-A,C0 -> C1 -> C0 -> C0,3
herbal-A,C0 -> C0 -> C0 -> C3,3
rosettes,C1 -> C0,3
balneo,C0 -> C2,3
rosettes,C1 -> C1 -> C0,3
pharm-herbal,C0 -> C0 -> C0 -> C0 -> C2,3
balneo,C1 -> C1 -> C1 -> C1 -> C0,3
cosmo/zodiac,C0 -> C1,3
stars,C0 -> C0 -> C1,3
cosmo/zodiac,C3 -> C0 -> C2,3
stars,C0 -> C1 -> C1,3
stars,C0 -> C1 -> C2 -> C2,3
stars,C0 -> C1 -> C2 -> C2 -> C2,3
pharm-herbal,C0 -> C0 -> C0 -> C3,3
stars,C0 -> C2 -> C3,3
cosmo/zodiac,C0 -> C0 -> C2,3
stars,C1 -> C0 -> C0,3
balneo,C2 -> C1 -> C1 -> C1 -> C1 -> C1,3
stars,C1 -> C0 -> C3,3
stars,C1 -> C0 -> C3 -> C1,3
balneo,C1 -> C2 -> C2 -> C1,3
herbal-A,C2 -> C2 -> C2 -> C0,3
stars,C1 -> C1 -> C0 -> C1 -> C1,3
herbal-A,C0 -> C4 -> C2,3
herbal-A,C1 -> C1 -> C3,3
herbal-A,C1 -> C2 -> C2,3
stars,C1 -> C1 -> C1 -> C1 -> C1 -> C1 -> C1,3
herbal-A,C4 -> C0 -> C0,3
stars,C1 -> C1 -> C1 -> C3,3
stars,C1 -> C1 -> C2 -> C0,3
herbal-A,C0 -> C1 -> C2 -> C0,3
balneo,C4 -> C1,3
pharm-herbal,C0 -> C0 -> C1 -> C0,3
herbal-A,C3 -> C2,3
stars,C2 -> C0 -> C2,3
stars,C2 -> C1,3
stars,C2 -> C1 -> C1,3
stars,C2 -> C1 -> C1 -> C1,3
stars,C2 -> C1 -> C1 -> C1 -> C1,3
balneo,C1 -> C1 -> C2 -> C2,3
stars,C2 -> C2,3
stars,C2 -> C2 -> C2,3
cosmo/zodiac,C1 -> C1 -> C1,3
stars,C3 -> C1 -> C0,3
balneo,C1 -> C1 -> C2 -> C2 -> C1,3
balneo,C1 -> C4 -> C1 -> C1,3
stars,C3 -> C3,3
stars,C4 -> C0 -> C1,3
stars,C4 -> C1 -> C1 -> C1,3
stars,C4 -> C1 -> C1 -> C1 -> C1,3
pharm-herbal,C0 -> C0 -> C1 -> C1 -> C0,3
stars,C1 -> C1 -> C1 -> C1 -> C1 -> C1 -> C1 -> C2,3
herbal-A,C3 -> C0 -> C1,2
cosmo/zodiac,C1 -> C3,2
herbal-A,C0 -> C2 -> C4 -> C2 -> C2,2
balneo,C1 -> C1 -> C2 -> C1 -> C1,2
balneo,C1 -> C1 -> C2 -> C1 -> C1 -> C1 -> C1,2
balneo,C0 -> C0 -> C1 -> C1 -> C2,2
balneo,C1 -> C1 -> C2 -> C1 -> C1 -> C2 -> C1,2
herbal-A,C0 -> C3,2
balneo,C4 -> C1 -> C1,2
balneo,C4 -> C1 -> C1 -> C0 -> C0,2
herbal-A,C0 -> C0 -> C3 -> C0,2
herbal-A,C0 -> C4 -> C2 -> C2,2
herbal-A,C0 -> C3 -> C0 -> C0,2
herbal-A,C0 -> C0 -> C0 -> C4,2
herbal-A,C3 -> C2 -> C2,2
stars,C4 -> C2 -> C1 -> C1,2
herbal-A,C3 -> C3 -> C2 -> C2,2
herbal-A,C0 -> C3 -> C0 -> C2,2
balneo,C0 -> C1 -> C1 -> C1 -> C1 -> C1 -> C1 -> C1,2
balneo,C0 -> C1 -> C1 -> C1 -> C1 -> C2,2
cosmo/zodiac,C0 -> C0 -> C2 -> C0 -> C0,2
herbal-A,C0 -> C0 -> C1 -> C0 -> C0,2
herbal-A,C0 -> C0 -> C1 -> C0 -> C0 -> C0,2
cosmo/zodiac,C2 -> C0 -> C1,2
herbal-A,C2 -> C0 -> C1 -> C0,2
herbal-A,C0 -> C0 -> C4 -> C0 -> C4,2
herbal-A,C1 -> C0 -> C0 -> C2,2
herbal-A,C3 -> C0 -> C2,2
herbal-A,C3 -> C3,2
balneo,C1 -> C1 -> C3,2
herbal-A,C0 -> C3 -> C3,2
cosmo/zodiac,C3 -> C0,2
herbal-A,C0 -> C0 -> C4 -> C2,2
herbal-A,C0 -> C0 -> C4 -> C4,2
balneo,C1 -> C3 -> C0 -> C1,2
herbal-A,C0 -> C0 -> C2 -> C0 -> C0,2
cosmo/zodiac,C0 -> C1 -> C0,2
