section,trajectory,count
balneo,C2 -> C2 -> C3,1
balneo,C2 -> C2 -> C4 -> C1,1
balneo,C2 -> C2 -> C4 -> C4 -> C1 -> C2,1
balneo,C2 -> C3 -> C1 -> C1 -> C2,1
balneo,C2 -> C4 -> C3 -> C1 -> C1 -> C1 -> C2 -> C1,1
balneo,C2 -> C4 -> C4 -> C1,1
balneo,C3 -> C1 -> C1,1
balneo,C3 -> C1 -> C1 -> C1 -> C1,1
balneo,C3 -> C1 -> C1 -> C1 -> C1 -> C1,1
balneo,C3 -> C1 -> C1 -> C1 -> C1 -> C1 -> C1,1
balneo,C3 -> C1 -> C1 -> C1 -> C2 -> C1,1
balneo,C3 -> C1 -> C1 -> C3 -> C1,1
balneo,C3 -> C1 -> C1 -> C3 -> C1 -> C1 -> C1 -> C2,1
balneo,C3 -> C1 -> C2 -> C1,1
balneo,C3 -> C1 -> C2 -> C2,1
balneo,C3 -> C1 -> C3,1
balneo,C3 -> C2,1
balneo,C3 -> C2 -> C1 -> C1,1
balneo,C3 -> C2 -> C1 -> C1 -> C1,1
balneo,C3 -> C2 -> C2 -> C3 -> C4 -> C1,1
balneo,C3 -> C2 -> C4 -> C1 -> C0 -> C0 -> C1 -> C1 -> C0,1
balneo,C3 -> C3 -> C1 -> C1 -> C1 -> C1 -> C1,1
balneo,C3 -> C3 -> C1 -> C1 -> C1 -> C4 -> C1 -> C3,1
balneo,C3 -> C3 -> C1 -> C1 -> C3 -> C1,1
balneo,C3 -> C3 -> C2 -> C1,1
balneo,C3 -> C3 -> C2 -> C2,1
balneo,C3 -> C4,1
balneo,C3 -> C4 -> C1,1
balneo,C3 -> C4 -> C1 -> C2,1
balneo,C4 -> C0 -> C0 -> C2 -> C1 -> C2,1
balneo,C4 -> C0 -> C1 -> C1 -> C1 -> C0,1
balneo,C4 -> C0 -> C1 -> C1 -> C4,1
balneo,C4 -> C0 -> C2,1
balneo,C4 -> C1 -> C0 -> C1 -> C1 -> C1,1
balneo,C4 -> C1 -> C1 -> C1,1
balneo,C4 -> C1 -> C1 -> C1 -> C1,1
balneo,C4 -> C1 -> C1 -> C1 -> C1 -> C1 -> C1,1
balneo,C4 -> C1 -> C1 -> C1 -> C1 -> C2,1
balneo,C4 -> C1 -> C1 -> C1 -> C2 -> C0,1
balneo,C4 -> C1 -> C1 -> C1 -> C3,1
balneo,C4 -> C1 -> C1 -> C1 -> C4,1
balneo,C4 -> C1 -> C1 -> C2,1
balneo,C4 -> C1 -> C1 -> C2 -> C1,1
balneo,C4 -> C1 -> C1 -> C2 -> C2 -> C1 -> C1,1
balneo,C4 -> C1 -> C1 -> C2 -> C2 -> C2 -> C2,1
balneo,C4 -> C1 -> C2 -> C0 -> C4 -> C2,1
balneo,C4 -> C1 -> C2 -> C4 -> C4 -> C4,1
balneo,C4 -> C1 -> C3 -> C2 -> C1,1
balneo,C4 -> C1 -> C3 -> C2 -> C1 -> C2,1
balneo,C4 -> C1 -> C4 -> C1,1
balneo,C4 -> C2,1
balneo,C4 -> C2 -> C0,1
balneo,C4 -> C2 -> C0 -> C2 -> C1 -> C1,1
balneo,C4 -> C2 -> C0 -> C2 -> C1 -> C3,1
balneo,C4 -> C2 -> C1 -> C0 -> C1 -> C1 -> C2 -> C1 -> C3 -> C1,1
balneo,C4 -> C2 -> C1 -> C4,1
balneo,C4 -> C4 -> C1 -> C2 -> C2,1
balneo,C4 -> C4 -> C2 -> C1 -> C1 -> C2,1
cosmo/zodiac,C0 -> C0 -> C0,1
cosmo/zodiac,C0 -> C0 -> C0 -> C0 -> C0 -> C0,1
cosmo/zodiac,C0 -> C0 -> C0 -> C0 -> C1 -> C0 -> C2,1
cosmo/zodiac,C0 -> C0 -> C0 -> C0 -> C3 -> C2,1
cosmo/zodiac,C0 -> C0 -> C0 -> C1 -> C0,1
cosmo/zodiac,C0 -> C0 -> C0 -> C1 -> C0 -> C3 -> C3,1
cosmo/zodiac,C0 -> C0 -> C0 -> C1 -> C1,1
cosmo/zodiac,C0 -> C0 -> C0 -> C1 -> C1 -> C2 -> C0,1
cosmo/zodiac,C0 -> C0 -> C0 -> C2,1
cosmo/zodiac,C0 -> C0 -> C0 -> C2 -> C2,1
cosmo/zodiac,C0 -> C0 -> C0 -> C2 -> C2 -> C2,1
cosmo/zodiac,C0 -> C0 -> C0 -> C3 -> C0 -> C0,1
cosmo/zodiac,C0 -> C0 -> C0 -> C3 -> C3,1
cosmo/zodiac,C0 -> C0 -> C0 -> C4 -> C2,1
cosmo/zodiac,C0 -> C0 -> C1,1
cosmo/zodiac,C0 -> C0 -> C1 -> C0 -> C0,1
cosmo/zodiac,C0 -> C0 -> C1 -> C0 -> C0 -> C0 -> C3 -> C0,1
cosmo/zodiac,C0 -> C0 -> C1 -> C1,1
cosmo/zodiac,C0 -> C0 -> C1 -> C1 -> C3,1
cosmo/zodiac,C0 -> C0 -> C1 -> C2 -> C0,1
cosmo/zodiac,C0 -> C0 -> C1 -> C2 -> C0 -> C1,1
cosmo/zodiac,C0 -> C0 -> C1 -> C2 -> C0 -> C2,1
cosmo/zodiac,C0 -> C0 -> C2 -> C0,1
cosmo/zodiac,C0 -> C0 -> C2 -> C0 -> C0 -> C0,1
cosmo/zodiac,C0 -> C0 -> C2 -> C0 -> C0 -> C2,1
cosmo/zodiac,C0 -> C0 -> C2 -> C0 -> C2,1
cosmo/zodiac,C0 -> C0 -> C2 -> C0 -> C2 -> C2,1
cosmo/zodiac,C0 -> C0 -> C2 -> C1 -> C1 -> C0 -> C1,1
cosmo/zodiac,C0 -> C0 -> C2 -> C3 -> C2 -> C3 -> C1 -> C3 -> C3 -> C2 -> C0 -> C3 -> C3 -> C3 -> C4 -> C0 -> C0,1
cosmo/zodiac,C0 -> C0 -> C3 -> C0 -> C1 -> C2 -> C0,1
cosmo/zodiac,C0 -> C0 -> C3 -> C0 -> C2 -> C2,1
cosmo/zodiac,C0 -> C0 -> C3 -> C2 -> C3,1
cosmo/zodiac,C0 -> C1 -> C1,1
cosmo/zodiac,C0 -> C1 -> C1 -> C0 -> C1,1
cosmo/zodiac,C0 -> C1 -> C1 -> C0 -> C2 -> C1 -> C0 -> C0 -> C0 -> C0 -> C2,1
cosmo/zodiac,C0 -> C1 -> C1 -> C1 -> C0 -> C1 -> C1,1
cosmo/zodiac,C0 -> C1 -> C1 -> C1 -> C1,1
cosmo/zodiac,C0 -> C1 -> C1 -> C1 -> C1 -> C1,1
cosmo/zodiac,C0 -> C1 -> C1 -> C1 -> C2 -> C2,1
cosmo/zodiac,C0 -> C1 -> C1 -> C2 -> C2,1
cosmo/zodiac,C0 -> C1 -> C3 -> C0,1
cosmo/zodiac,C0 -> C1 -> C3 -> C1 -> C2,1
cosmo/zodiac,C0 -> C1 -> C3 -> C2 -> C2 -> C1,1
cosmo/zodiac,C0 -> C2 -> C0,1
cosmo/zodiac,C0 -> C2 -> C0 -> C0 -> C0 -> C0 -> C0,1
cosmo/zodiac,C0 -> C2 -> C1 -> C1 -> C0 -> C0 -> C2,1
cosmo/zodiac,C0 -> C2 -> C1 -> C4 -> C2,1
cosmo/zodiac,C0 -> C2 -> C2 -> C0,1
cosmo/zodiac,C0 -> C2 -> C2 -> C1,1
cosmo/zodiac,C0 -> C2 -> C2 -> C2,1
cosmo/zodiac,C0 -> C2 -> C2 -> C2 -> C2 -> C2,1
cosmo/zodiac,C0 -> C2 -> C3 -> C0 -> C3,1
cosmo/zodiac,C0 -> C3,1
cosmo/zodiac,C0 -> C3 -> C0 -> C0 -> C0,1
cosmo/zodiac,C0 -> C3 -> C1,1
cosmo/zodiac,C0 -> C3 -> C1 -> C0 -> C2,1
cosmo/zodiac,C0 -> C3 -> C2,1
cosmo/zodiac,C0 -> C3 -> C2 -> C1,1
cosmo/zodiac,C0 -> C3 -> C3,1
cosmo/zodiac,C0 -> C3 -> C4,1
cosmo/zodiac,C0 -> C4,1
cosmo/zodiac,C0 -> C4 -> C0 -> C1 -> C0 -> C2 -> C2 -> C0 -> C0 -> C4 -> C0 -> C4,1
cosmo/zodiac,C0 -> C4 -> C1,1
cosmo/zodiac,C1 -> C0 -> C0,1
cosmo/zodiac,C1 -> C0 -> C0 -> C0 -> C0 -> C3 -> C3 -> C3 -> C3 -> C3 -> C0 -> C0 -> C2 -> C3 -> C3 -> C3 -> C2 -> C2,1
cosmo/zodiac,C1 -> C0 -> C0 -> C0 -> C1 -> C3 -> C0 -> C0 -> C3 -> C0 -> C1 -> C1 -> C1 -> C3 -> C3 -> C0 -> C0 -> C0 -> C0 -> C3 -> C1 -> C1 -> C0 -> C3,1
cosmo/zodiac,C1 -> C0 -> C0 -> C1 -> C1,1
cosmo/zodiac,C1 -> C0 -> C0 -> C1 -> C1 -> C0 -> C1 -> C3,1
cosmo/zodiac,C1 -> C0 -> C0 -> C1 -> C1 -> C1 -> C1,1
cosmo/zodiac,C1 -> C0 -> C0 -> C1 -> C3 -> C3,1
cosmo/zodiac,C1 -> C0 -> C0 -> C2 -> C2,1
cosmo/zodiac,C1 -> C0 -> C0 -> C3 -> C4,1
cosmo/zodiac,C1 -> C0 -> C1 -> C0,1
cosmo/zodiac,C1 -> C0 -> C1 -> C0 -> C0,1
cosmo/zodiac,C1 -> C0 -> C1 -> C0 -> C3 -> C1 -> C1,1
cosmo/zodiac,C1 -> C0 -> C1 -> C1 -> C1 -> C0 -> C3,1
cosmo/zodiac,C1 -> C0 -> C1 -> C2 -> C1 -> C0 -> C3 -> C3,1
cosmo/zodiac,C1 -> C0 -> C1 -> C2 -> C1 -> C2,1
cosmo/zodiac,C1 -> C0 -> C2,1
cosmo/zodiac,C1 -> C0 -> C2 -> C0,1
cosmo/zodiac,C1 -> C0 -> C2 -> C0 -> C1 -> C1,1
cosmo/zodiac,C1 -> C0 -> C2 -> C0 -> C2 -> C0,1
cosmo/zodiac,C1 -> C0 -> C3,1
cosmo/zodiac,C1 -> C0 -> C3 -> C2 -> C2 -> C0 -> C0 -> C2 -> C1 -> C0 -> C0 -> C3 -> C2 -> C2 -> C2,1
cosmo/zodiac,C1 -> C1 -> C0,1
cosmo/zodiac,C1 -> C1 -> C0 -> C0 -> C0 -> C1,1
cosmo/zodiac,C1 -> C1 -> C0 -> C1 -> C2,1
cosmo/zodiac,C1 -> C1 -> C0 -> C2 -> C0 -> C3,1
cosmo/zodiac,C1 -> C1 -> C1 -> C0,1
cosmo/zodiac,C1 -> C1 -> C1 -> C0 -> C0 -> C1,1
cosmo/zodiac,C1 -> C1 -> C1 -> C0 -> C3 -> C3,1
cosmo/zodiac,C1 -> C1 -> C1 -> C1,1
cosmo/zodiac,C1 -> C1 -> C1 -> C1 -> C0,1
cosmo/zodiac,C1 -> C1 -> C1 -> C1 -> C2 -> C2,1
cosmo/zodiac,C1 -> C1 -> C1 -> C1 -> C3 -> C2,1
cosmo/zodiac,C1 -> C1 -> C1 -> C2,1
cosmo/zodiac,C1 -> C1 -> C1 -> C2 -> C2,1
cosmo/zodiac,C1 -> C1 -> C1 -> C3,1
cosmo/zodiac,C1 -> C1 -> C2 -> C1 -> C0 -> C2,1
cosmo/zodiac,C1 -> C1 -> C2 -> C1 -> C1 -> C0 -> C0 -> C3 -> C0 -> C1 -> C3 -> C3 -> C0 -> C0 -> C1 -> C0 -> C2 -> C1 -> C3 -> C0 -> C4,1
cosmo/zodiac,C1 -> C1 -> C2 -> C1 -> C1 -> C1 -> C1 -> C1,1
cosmo/zodiac,C1 -> C1 -> C2 -> C1 -> C1 -> C2 -> C1,1
cosmo/zodiac,C1 -> C1 -> C2 -> C2,1
cosmo/zodiac,C1 -> C2 -> C0 -> C0 -> C0 -> C2,1
cosmo/zodiac,C1 -> C2 -> C0 -> C1 -> C0 -> C0 -> C3,1
cosmo/zodiac,C1 -> C2 -> C0 -> C2 -> C2,1
cosmo/zodiac,C1 -> C2 -> C0 -> C3 -> C0 -> C0 -> C1 -> C2 -> C3 -> C3 -> C3 -> C3 -> C3 -> C3,1
cosmo/zodiac,C1 -> C2 -> C1 -> C0,1
cosmo/zodiac,C1 -> C2 -> C1 -> C0 -> C1,1
cosmo/zodiac,C1 -> C2 -> C1 -> C0 -> C2 -> C0,1
cosmo/zodiac,C1 -> C2 -> C1 -> C1 -> C0 -> C0 -> C2,1
cosmo/zodiac,C1 -> C2 -> C1 -> C2 -> C0,1
cosmo/zodiac,C1 -> C2 -> C1 -> C2 -> C2 -> C2,1
cosmo/zodiac,C1 -> C2 -> C2,1
cosmo/zodiac,C1 -> C2 -> C2 -> C1,1
cosmo/zodiac,C1 -> C2 -> C2 -> C2 -> C0 -> C1,1
cosmo/zodiac,C1 -> C2 -> C3 -> C1 -> C0 -> C3,1
cosmo/zodiac,C1 -> C2 -> C3 -> C1 -> C3,1
cosmo/zodiac,C1 -> C2 -> C3 -> C2 -> C2,1
cosmo/zodiac,C1 -> C3 -> C0 -> C0 -> C0 -> C0 -> C4 -> C0 -> C3 -> C0,1
cosmo/zodiac,C1 -> C3 -> C2 -> C2 -> C2 -> C3 -> C2 -> C0 -> C3,1
cosmo/zodiac,C1 -> C3 -> C3,1
cosmo/zodiac,C1 -> C3 -> C3 -> C2 -> C0 -> C3,1
cosmo/zodiac,C1 -> C3 -> C3 -> C2 -> C2,1
cosmo/zodiac,C1 -> C3 -> C3 -> C3 -> C0 -> C2 -> C3 -> C3 -> C3,1
cosmo/zodiac,C1 -> C3 -> C3 -> C3 -> C3 -> C3 -> C0 -> C3 -> C1 -> C3 -> C3 -> C2 -> C0 -> C3 -> C0 -> C3 -> C3 -> C0 -> C1 -> C3 -> C2 -> C0 -> C3 -> C1 -> C4 -> C3 -> C1 -> C3 -> C0 -> C0 -> C0 -> C1 -> C0,1
cosmo/zodiac,C1 -> C4,1
cosmo/zodiac,C2 -> C0,1
cosmo/zodiac,C2 -> C0 -> C0 -> C0 -> C0 -> C0 -> C2,1
cosmo/zodiac,C2 -> C0 -> C0 -> C2 -> C0,1
cosmo/zodiac,C2 -> C0 -> C0 -> C3 -> C2 -> C3 -> C3 -> C4 -> C3 -> C0 -> C0 -> C2 -> C1 -> C4 -> C4 -> C0 -> C1 -> C3 -> C3 -> C0 -> C0 -> C1 -> C0 -> C0 -> C2 -> C0 -> C2,1
cosmo/zodiac,C2 -> C0 -> C1 -> C1 -> C1 -> C0 -> C0 -> C3 -> C3 -> C1 -> C3 -> C0 -> C2 -> C1 -> C2 -> C0 -> C1,1
cosmo/zodiac,C2 -> C0 -> C2,1
cosmo/zodiac,C2 -> C0 -> C2 -> C0,1
cosmo/zodiac,C2 -> C0 -> C2 -> C0 -> C0 -> C3,1
cosmo/zodiac,C2 -> C0 -> C2 -> C0 -> C1,1
cosmo/zodiac,C2 -> C0 -> C3 -> C1 -> C2 -> C2 -> C2 -> C1 -> C3 -> C3,1
cosmo/zodiac,C2 -> C0 -> C3 -> C2,1
cosmo/zodiac,C2 -> C1,1
cosmo/zodiac,C2 -> C1 -> C0,1
cosmo/zodiac,C2 -> C1 -> C0 -> C1,1
cosmo/zodiac,C2 -> C1 -> C0 -> C3 -> C3 -> C0 -> C0 -> C3,1
cosmo/zodiac,C2 -> C1 -> C1 -> C1 -> C2 -> C2,1
cosmo/zodiac,C2 -> C1 -> C1 -> C2 -> C0 -> C0,1
cosmo/zodiac,C2 -> C1 -> C2,1
cosmo/zodiac,C2 -> C1 -> C2 -> C2 -> C2,1
cosmo/zodiac,C2 -> C1 -> C3 -> C0 -> C3 -> C1 -> C2,1
cosmo/zodiac,C2 -> C1 -> C4 -> C3 -> C2 -> C0 -> C0,1
cosmo/zodiac,C2 -> C2 -> C0,1
cosmo/zodiac,C2 -> C2 -> C1 -> C2 -> C2 -> C0,1
cosmo/zodiac,C2 -> C2 -> C2,1
cosmo/zodiac,C2 -> C2 -> C2 -> C0 -> C3 -> C0 -> C1 -> C2 -> C3 -> C0 -> C3 -> C0 -> C2 -> C3 -> C3 -> C4 -> C3 -> C3 -> C3,1
cosmo/zodiac,C2 -> C2 -> C2 -> C3 -> C2 -> C0 -> C0 -> C0 -> C2 -> C1 -> C0 -> C0 -> C3 -> C1 -> C0 -> C3 -> C1 -> C0 -> C3 -> C4 -> C1 -> C1 -> C3 -> C1 -> C0,1
cosmo/zodiac,C2 -> C2 -> C2 -> C3 -> C2 -> C1 -> C2 -> C3 -> C3 -> C3,1
cosmo/zodiac,C2 -> C2 -> C3 -> C1 -> C0 -> C3 -> C3 -> C3 -> C1 -> C1 -> C3 -> C0 -> C1 -> C3 -> C3 -> C4 -> C3 -> C2 -> C3 -> C2 -> C2 -> C3,1
cosmo/zodiac,C2 -> C2 -> C3 -> C2 -> C0,1
cosmo/zodiac,C2 -> C2 -> C3 -> C2 -> C2 -> C4 -> C2,1
cosmo/zodiac,C2 -> C2 -> C3 -> C3 -> C4 -> C2 -> C3 -> C0 -> C1 -> C3 -> C3 -> C3 -> C3 -> C0 -> C1 -> C1 -> C1,1
cosmo/zodiac,C2 -> C2 -> C4 -> C1 -> C1 -> C0,1
cosmo/zodiac,C2 -> C3 -> C0 -> C0 -> C4 -> C3 -> C1 -> C0 -> C0 -> C0 -> C0 -> C0 -> C3 -> C0 -> C0 -> C1 -> C0 -> C3,1
cosmo/zodiac,C2 -> C3 -> C1 -> C2 -> C3 -> C2 -> C4 -> C4 -> C2 -> C2 -> C0 -> C1 -> C0 -> C0 -> C0 -> C3 -> C4 -> C2 -> C1 -> C2 -> C0 -> C1,1
cosmo/zodiac,C2 -> C3 -> C1 -> C3 -> C3 -> C3 -> C2 -> C1 -> C0 -> C3 -> C3 -> C2 -> C3 -> C0 -> C3 -> C1 -> C1 -> C1 -> C0 -> C0 -> C3 -> C0 -> C3,1
cosmo/zodiac,C2 -> C3 -> C2 -> C2 -> C2 -> C1 -> C3,1
cosmo/zodiac,C2 -> C3 -> C3 -> C3,1
cosmo/zodiac,C2 -> C3 -> C3 -> C3 -> C0 -> C1 -> C0 -> C3 -> C3 -> C0 -> C0 -> C0 -> C0 -> C0 -> C3 -> C2 -> C0 -> C0 -> C3 -> C1 -> C3 -> C3,1
cosmo/zodiac,C2 -> C3 -> C3 -> C3 -> C3 -> C3 -> C0 -> C0 -> C1 -> C0 -> C1 -> C1 -> C3 -> C0 -> C0 -> C0 -> C3 -> C0 -> C0 -> C0 -> C3 -> C3 -> C3 -> C0 -> C4 -> C1 -> C2 -> C3 -> C0,1
cosmo/zodiac,C2 -> C4 -> C3,1
cosmo/zodiac,C2 -> C4 -> C3 -> C2 -> C2,1
cosmo/zodiac,C3 -> C0 -> C0 -> C0 -> C0 -> C4 -> C3 -> C0 -> C2 -> C3 -> C3 -> C0 -> C1 -> C3 -> C0 -> C3 -> C0 -> C0 -> C1 -> C0 -> C2 -> C1 -> C1,1
cosmo/zodiac,C3 -> C0 -> C0 -> C1 -> C2 -> C0 -> C3 -> C3 -> C3 -> C0 -> C0 -> C0 -> C1 -> C0 -> C3 -> C0 -> C0 -> C0 -> C0 -> C1 -> C3 -> C3 -> C0,1
cosmo/zodiac,C3 -> C0 -> C0 -> C3 -> C0 -> C3 -> C2 -> C2 -> C2 -> C2 -> C1 -> C1 -> C1 -> C0 -> C2 -> C2,1
cosmo/zodiac,C3 -> C0 -> C1,1
cosmo/zodiac,C3 -> C0 -> C2 -> C0 -> C3 -> C3,1
cosmo/zodiac,C3 -> C0 -> C2 -> C2 -> C3 -> C2 -> C4 -> C3 -> C4 -> C3,1
cosmo/zodiac,C3 -> C0 -> C3,1
cosmo/zodiac,C3 -> C0 -> C3 -> C0 -> C0 -> C0 -> C1 -> C2 -> C1 -> C3 -> C2 -> C0 -> C3 -> C3 -> C3 -> C0 -> C2 -> C2 -> C3 -> C0,1
cosmo/zodiac,C3 -> C0 -> C3 -> C3 -> C0 -> C0,1
cosmo/zodiac,C3 -> C0 -> C3 -> C3 -> C1,1
cosmo/zodiac,C3 -> C0 -> C3 -> C3 -> C3 -> C3 -> C3 -> C3 -> C3 -> C0 -> C3 -> C0 -> C4 -> C1 -> C3 -> C2,1
cosmo/zodiac,C3 -> C1 -> C0 -> C3 -> C1 -> C1 -> C0 -> C0 -> C0 -> C3 -> C3 -> C2 -> C0 -> C1 -> C3 -> C0 -> C0 -> C0,1
cosmo/zodiac,C3 -> C1 -> C0 -> C3 -> C1 -> C2 -> C1 -> C1 -> C2 -> C2 -> C1 -> C1,1
cosmo/zodiac,C3 -> C1 -> C1,1
cosmo/zodiac,C3 -> C1 -> C1 -> C0 -> C3 -> C3 -> C3 -> C3 -> C3 -> C3 -> C2 -> C3 -> C3 -> C2 -> C4 -> C3 -> C0 -> C0 -> C1 -> C0 -> C0,1
cosmo/zodiac,C3 -> C1 -> C2 -> C0 -> C3 -> C3 -> C3 -> C4 -> C0 -> C3 -> C3 -> C3 -> C0 -> C2 -> C0 -> C1 -> C3 -> C3 -> C0 -> C0 -> C3 -> C0 -> C0,1
cosmo/zodiac,C3 -> C1 -> C3 -> C0 -> C0,1
cosmo/zodiac,C3 -> C1 -> C3 -> C3 -> C0 -> C1 -> C0 -> C1 -> C0 -> C2 -> C2 -> C3 -> C2 -> C3 -> C3 -> C3 -> C3 -> C0 -> C2,1
cosmo/zodiac,C3 -> C1 -> C3 -> C3 -> C0 -> C2,1
cosmo/zodiac,C3 -> C1 -> C4 -> C1 -> C1 -> C2 -> C2,1
cosmo/zodiac,C3 -> C2 -> C0 -> C3 -> C3 -> C1 -> C3 -> C0 -> C0 -> C2 -> C1 -> C0 -> C0 -> C0 -> C0 -> C2 -> C0 -> C2 -> C3 -> C2 -> C2 -> C2 -> C0 -> C3 -> C3 -> C3 -> C2,1
cosmo/zodiac,C3 -> C2 -> C1 -> C3,1
cosmo/zodiac,C3 -> C2 -> C2 -> C0 -> C2 -> C0 -> C2,1
cosmo/zodiac,C3 -> C2 -> C2 -> C0 -> C3 -> C3 -> C2 -> C1 -> C1 -> C4 -> C2 -> C1 -> C2 -> C3 -> C3 -> C2 -> C2 -> C0 -> C3 -> C2 -> C3 -> C0 -> C2,1
cosmo/zodiac,C3 -> C2 -> C2 -> C2 -> C3 -> C0 -> C1 -> C3 -> C0,1
cosmo/zodiac,C3 -> C2 -> C2 -> C3 -> C3 -> C1 -> C3 -> C0 -> C4 -> C0 -> C3 -> C3 -> C2 -> C1 -> C2 -> C1 -> C0 -> C2 -> C1 -> C2 -> C3 -> C0 -> C3,1
cosmo/zodiac,C3 -> C2 -> C3 -> C2 -> C1 -> C3 -> C0,1
cosmo/zodiac,C3 -> C3 -> C0 -> C0 -> C0 -> C4 -> C1,1
cosmo/zodiac,C3 -> C3 -> C0 -> C0 -> C3 -> C1 -> C1 -> C0 -> C0 -> C3 -> C0 -> C0 -> C0 -> C3 -> C0 -> C3 -> C1 -> C1 -> C0 -> C3 -> C0 -> C0 -> C1 -> C0 -> C2 -> C3,1
cosmo/zodiac,C3 -> C3 -> C0 -> C0 -> C3 -> C2 -> C2 -> C2,1
cosmo/zodiac,C3 -> C3 -> C0 -> C2 -> C0 -> C1 -> C2 -> C0 -> C3 -> C3 -> C0 -> C1 -> C3 -> C3 -> C0 -> C4 -> C1,1
cosmo/zodiac,C3 -> C3 -> C1 -> C0 -> C2 -> C2 -> C0 -> C2 -> C3 -> C0 -> C3 -> C2 -> C0 -> C2 -> C1 -> C1 -> C3 -> C0 -> C2 -> C1,1
cosmo/zodiac,C3 -> C3 -> C1 -> C2 -> C3 -> C3 -> C0 -> C3 -> C1 -> C1 -> C1 -> C1 -> C0 -> C0,1
cosmo/zodiac,C3 -> C3 -> C1 -> C3 -> C0 -> C0 -> C3 -> C2 -> C2 -> C4 -> C2 -> C0 -> C4 -> C3 -> C2 -> C0 -> C3 -> C3 -> C0 -> C2 -> C3,1
cosmo/zodiac,C3 -> C3 -> C2,1
cosmo/zodiac,C3 -> C3 -> C2 -> C0 -> C3 -> C2,1
cosmo/zodiac,C3 -> C3 -> C3 -> C0 -> C2 -> C0 -> C3 -> C1 -> C0 -> C3 -> C3 -> C1 -> C1 -> C0 -> C2 -> C0 -> C0 -> C0 -> C3,1
cosmo/zodiac,C3 -> C3 -> C3 -> C0 -> C3 -> C0 -> C0 -> C3 -> C3 -> C3 -> C3 -> C3 -> C1 -> C0 -> C3,1
cosmo/zodiac,C3 -> C3 -> C3 -> C2 -> C1 -> C1 -> C3 -> C3 -> C3 -> C3 -> C3 -> C3 -> C1 -> C3 -> C3 -> C1,1
cosmo/zodiac,C3 -> C3 -> C3 -> C3 -> C3 -> C3,1
cosmo/zodiac,C4 -> C0 -> C0 -> C3,1
cosmo/zodiac,C4 -> C0 -> C2 -> C1 -> C2 -> C1,1
cosmo/zodiac,C4 -> C0 -> C3 -> C2 -> C1 -> C3 -> C3 -> C3 -> C3 -> C3 -> C3 -> C4 -> C2 -> C1 -> C0 -> C0 -> C0,1
cosmo/zodiac,C4 -> C1 -> C3 -> C1 -> C1 -> C1,1
cosmo/zodiac,C4 -> C1 -> C4 -> C2,1
cosmo/zodiac,C4 -> C2,1
herbal-A,C0 -> C0 -> C0 -> C0 -> C0 -> C0 -> C0 -> C2,1
herbal-A,C0 -> C0 -> C0 -> C0 -> C0 -> C0 -> C2,1
herbal-A,C0 -> C0 -> C0 -> C0 -> C0 -> C2 -> C4,1
herbal-A,C0 -> C0 -> C0 -> C0 -> C1,1
herbal-A,C0 -> C0 -> C0 -> C0 -> C1 -> C0,1
herbal-A,C0 -> C0 -> C0 -> C0 -> C1 -> C2,1
herbal-A,C0 -> C0 -> C0 -> C0 -> C2 -> C0,1
herbal-A,C0 -> C0 -> C0 -> C0 -> C2 -> C0 -> C0,1
herbal-A,C0 -> C0 -> C0 -> C0 -> C2 -> C0 -> C0 -> C0,1
herbal-A,C0 -> C0 -> C0 -> C0 -> C2 -> C0 -> C2,1
herbal-A,C0 -> C0 -> C0 -> C0 -> C2 -> C2,1
herbal-A,C0 -> C0 -> C0 -> C0 -> C2 -> C2 -> C1 -> C0,1
herbal-A,C0 -> C0 -> C0 -> C0 -> C2 -> C2 -> C2,1
herbal-A,C0 -> C0 -> C0 -> C0 -> C3,1
herbal-A,C0 -> C0 -> C0 -> C0 -> C3 -> C0,1
herbal-A,C0 -> C0 -> C0 -> C0 -> C3 -> C2,1
herbal-A,C0 -> C0 -> C0 -> C0 -> C4 -> C4,1
herbal-A,C0 -> C0 -> C0 -> C1 -> C1 -> C0 -> C0,1
herbal-A,C0 -> C0 -> C0 -> C1 -> C2,1
herbal-A,C0 -> C0 -> C0 -> C2 -> C0,1
herbal-A,C0 -> C0 -> C0 -> C2 -> C0 -> C0 -> C0 -> C0,1
herbal-A,C0 -> C0 -> C0 -> C2 -> C0 -> C0 -> C2 -> C4,1
herbal-A,C0 -> C0 -> C0 -> C2 -> C3 -> C2,1
herbal-A,C0 -> C0 -> C0 -> C3 -> C0 -> C0 -> C0 -> C2,1
herbal-A,C0 -> C0 -> C0 -> C3 -> C0 -> C2,1
herbal-A,C0 -> C0 -> C0 -> C3 -> C2,1
herbal-A,C0 -> C0 -> C0 -> C3 -> C3,1
herbal-A,C0 -> C0 -> C0 -> C4 -> C0,1
herbal-A,C0 -> C0 -> C0 -> C4 -> C0 -> C0,1
herbal-A,C0 -> C0 -> C0 -> C4 -> C2,1
herbal-A,C0 -> C0 -> C1 -> C0 -> C0 -> C0 -> C0,1
herbal-A,C0 -> C0 -> C1 -> C0 -> C1 -> C3,1
herbal-A,C0 -> C0 -> C1 -> C1,1
herbal-A,C0 -> C0 -> C1 -> C1 -> C0 -> C0,1
herbal-A,C0 -> C0 -> C1 -> C1 -> C1 -> C1 -> C1 -> C1 -> C1 -> C2,1
herbal-A,C0 -> C0 -> C1 -> C1 -> C2 -> C1 -> C2 -> C3,1
herbal-A,C0 -> C0 -> C1 -> C2,1
