num,arabic_name,english_name,latin_binomial,header_full,is_hot,is_cold,is_wet,is_dry,degree,temperament_text,nature_text,sections_present
16,,,Bazr al-Kattiin,Bazr al-Kattiin Linseed Linumusitatissimum Linn,True,False,True,False,first degree,It is hot in the first degree and moderate in moistness and dryness. Some people state that decoction of linseed is moist and possesses superfluous humidity.,In potency it matches fenugreek.,Food|Cosmetics|Excretion|Properties|Temperament|Joints|Nature|Swellings
17,Bisbiisah Mace,,Myristica fragrans,Bisbiisah Mace Myristica fragrans Houtt.,True,False,False,True,second degree,According to Paulos it is moderate in temperament. But some others state that it is hot and dry in the second degree. Undoubtedly it (the latter statement) is true.,"The leaves of bisblisah are intertwined, corrugated, dry, reddish or yellowish and look like barks. The wood and leaves are pungent like cubeb and are obtained from China. According to Ibn Maswaih bisbiisah is the peel of nutmeg. Masih holds that in petency",Food|Cosmetics|Excretion|Properties|Temperament|Nature|Head|Swellings
18,Bisbaij,,,Bisbaij,True,False,False,True,third degree,It is hot in the second and dry in the third degree. It is predominantly desiccant.,"Bisbiiij is a thin knotty wood of mud colour with black or red tinge. It has multiple off shoots like an insect which has numerous legs. It is sweet but a little astringent. Some people state that it grows on trees in marshy bonds. According to some others, it grows on stony lands.",Substitute|Excretion|Properties|Choice|Temperament|Joints|Nature
19,Bussad Coral,,Corolium rubrum,Bussad Coral Corolium rubrum,False,True,False,True,third degree,It is cold in the first and dry in the third degree.,"It is a well known drug having different colours, such as red, black or white.",Chest|Excretion|Properties|Ulcers|Temperament|Nature
20,Busr-wa-,,Balak unripe date,Busr-wa-Balak unripe date Phoenix dactyli/era Linn,False,True,False,True,second degree,"Both the types are cold and dry in the second degree. However, the unripe dates are more desiccant than dried ones.",Busr and Balah are well known.,Chest|Fevers|Excretion|Properties|Temperament|Nature|Head
21,B~I Onion,,Alium cepa Linn,B~I Onion Alium cepa Linn,True,False,False,True,third degree,Basi is hot in the third degree with superfluous humidity.,"It is well known. It has biting pungency, some bitterness and astringency. The edible variety is larger in size, and more pungent. Red onions are more pungent than the white ones. Similarly the dry form is more pungent than the fresh one and raw green onion is more pungent than the roasted or fried one.",Chest|Cosmetics|Properties|Ulcers|Temperament|Nature|Head|Poisons
22,Ba~1 al-Zlr,,,Ba~1 al-Zlr,False,False,False,False,,,"In potency and taste, it is likeBasl al-fiir (Squil) Urginea indica, Kunth, is used as a substitute for the same, though it is somewhat weaker (than the squill.",Excretion|Nature|Poisons
23,Bal Duck,Anas,,Bal Duck Anas,True,False,False,False,,It is hotter than all other domestic fowls in temperament. Some people are of the view that it warms up persons having some coldness in temperament and causes fever to those having hot temperament.,,Chest|Cosmetics|Excretion|Properties|Temperament
25,Balbiit,,Knot weed,Balbiit Knot weed Polygonum arviculare Linn.,False,False,False,False,,,It is 'Asa al-rii'i (Knot Weed). We shall describe its properties under letter 'Ain.,Nature
26,Bittlkh.,,Sweet melon,Bittlkh. Sweet melon Cucumis melo,False,True,True,True,second degree,"It is cold in the first and moist in the last of the second degree. The dried seeds, however, do not remain moist but acquire dryness of the second degree. Infact, these (seeds) are dry in temperament.",It is a well known fruit.,Cosmetics|Eye|Properties|Excretion|Temperament|Nature|Poisons
27,"Ba""r al-hayawiin",,Animal dung or dropping,"Ba""r al-hayawiin Animal dung or dropping ..",False,False,False,False,,,,Cosmetics|Eye|Excretion|Ulcers|Joints|Head|Swellings|Poisons
28,,,Baqla hamqii,"Baqla hamqii' Purslane Portulaca oleracea, Linn",False,True,True,False,second degree,It is cold in the third and moist in the last stage of the second degree.,It is a well known vegetable.,Chest|Cosmetics|Substitute|Fevers|Eye|Properties|Excretion|Choice|Temperament|Nature|Head|Swellings
