folio,section,pattern
f79r,balneo,C1->C4->C1
f79r,balneo,C1->C0->C1
f79r,balneo,C1->C1->C1
f79r,balneo,C1->C1->C1
f79r,balneo,C1->C1->C1
f79r,balneo,C1->C1->C1
f79r,balneo,C1->C1->C1
f79r,balneo,C1->C2->C1
f79r,balneo,C2->C1->C2
f79r,balneo,C1->C2->C1
f79r,balneo,C1->C0->C1
f79r,balneo,C1->C2->C1
f79r,balneo,C2->C2->C2
f79r,balneo,C0->C0->C0
f79r,balneo,C1->C1->C1
f79r,balneo,C1->C4->C1
f79r,balneo,C4->C1->C4
f79r,balneo,C1->C1->C1
f79r,balneo,C1->C2->C1
f79v,balneo,C1->C1->C1
f79v,balneo,C1->C1->C1
f79v,balneo,C1->C3->C1
f79v,balneo,C1->C1->C1
f79v,balneo,C1->C0->C1
f79v,balneo,C1->C1->C1
f79v,balneo,C1->C0->C1
f79v,balneo,C1->C0->C1
f79v,balneo,C1->C3->C1
f79v,balneo,C1->C1->C1
f79v,balneo,C1->C3->C1
f79v,balneo,C1->C1->C1
f79v,balneo,C1->C1->C1
f79v,balneo,C1->C1->C1
f79v,balneo,C1->C1->C1
f79v,balneo,C1->C1->C1
f79v,balneo,C2->C2->C2
f79v,balneo,C1->C1->C1
f79v,balneo,C1->C3->C1
f79v,balneo,C1->C1->C1
f79v,balneo,C1->C1->C1
f79v,balneo,C1->C1->C1
f79v,balneo,C1->C1->C1
f79v,balneo,C1->C2->C1
f79v,balneo,C1->C1->C1
f79v,balneo,C1->C1->C1
f79v,balneo,C1->C1->C1
f79v,balneo,C1->C4->C1
f79v,balneo,C1->C1->C1
f79v,balneo,C2->C0->C2
f79v,balneo,C1->C1->C1
f79v,balneo,C1->C1->C1
f79v,balneo,C1->C2->C1
f79v,balneo,C1->C1->C1
f79v,balneo,C1->C1->C1
f79v,balneo,C1->C1->C1
f79v,balneo,C1->C1->C1
f79v,balneo,C1->C2->C1
f79v,balneo,C1->C1->C1
f79v,balneo,C1->C1->C1
f79v,balneo,C1->C2->C1
f79v,balneo,C1->C1->C1
f79v,balneo,C1->C1->C1
f79v,balneo,C1->C1->C1
f79v,balneo,C1->C1->C1
f79v,balneo,C1->C1->C1
f79v,balneo,C1->C1->C1
f79v,balneo,C1->C1->C1
