folio,section,pattern
f71r,cosmo/zodiac,C2->C2->C2
f71v,cosmo/zodiac,C3->C1->C3
f71v,cosmo/zodiac,C0->C1->C0
f71v,cosmo/zodiac,C1->C0->C1
f71v,cosmo/zodiac,C0->C1->C0
f71v,cosmo/zodiac,C2->C3->C2
f71v,cosmo/zodiac,C3->C2->C3
f71v,cosmo/zodiac,C3->C3->C3
f71v,cosmo/zodiac,C3->C3->C3
f71v,cosmo/zodiac,C2->C3->C2
f71v,cosmo/zodiac,C0->C1->C0
f71v,cosmo/zodiac,C0->C0->C0
f71v,cosmo/zodiac,C2->C1->C2
f71v,cosmo/zodiac,C2->C2->C2
f71v,cosmo/zodiac,C2->C3->C2
f72r1,cosmo/zodiac,C3->C1->C3
f72r1,cosmo/zodiac,C0->C0->C0
f72r1,cosmo/zodiac,C0->C0->C0
f72r1,cosmo/zodiac,C0->C2->C0
f72r1,cosmo/zodiac,C2->C0->C2
f72r1,cosmo/zodiac,C2->C3->C2
f72r1,cosmo/zodiac,C2->C2->C2
f72r1,cosmo/zodiac,C3->C3->C3
f72r1,cosmo/zodiac,C2->C0->C2
f72r1,cosmo/zodiac,C3->C0->C3
f72r1,cosmo/zodiac,C2->C0->C2
f72r1,cosmo/zodiac,C2->C2->C2
f72r2,cosmo/zodiac,C0->C3->C0
f72r2,cosmo/zodiac,C3->C0->C3
f72r2,cosmo/zodiac,C2->C2->C2
f72r2,cosmo/zodiac,C2->C2->C2
f72r2,cosmo/zodiac,C1->C1->C1
f72r2,cosmo/zodiac,C2->C3->C2
f72r2,cosmo/zodiac,C2->C4->C2
f72r2,cosmo/zodiac,C3->C1->C3
f72r2,cosmo/zodiac,C2->C4->C2
f72r3,cosmo/zodiac,C3->C3->C3
f72r3,cosmo/zodiac,C3->C3->C3
f72r3,cosmo/zodiac,C3->C3->C3
f72r3,cosmo/zodiac,C3->C0->C3
f72r3,cosmo/zodiac,C3->C1->C3
f72r3,cosmo/zodiac,C0->C3->C0
f72r3,cosmo/zodiac,C3->C0->C3
f72r3,cosmo/zodiac,C3->C1->C3
f72r3,cosmo/zodiac,C0->C0->C0
f72r3,cosmo/zodiac,C0->C1->C0
f72r3,cosmo/zodiac,C3->C1->C3
f72r3,cosmo/zodiac,C3->C3->C3
f72r3,cosmo/zodiac,C3->C2->C3
f72r3,cosmo/zodiac,C3->C0->C3
f72r3,cosmo/zodiac,C1->C1->C1
f72r3,cosmo/zodiac,C0->C3->C0
f72r3,cosmo/zodiac,C3->C0->C3
f72r3,cosmo/zodiac,C3->C0->C3
f72r3,cosmo/zodiac,C1->C1->C1
f72r3,cosmo/zodiac,C1->C1->C1
f72r3,cosmo/zodiac,C3->C1->C3
f72v1,cosmo/zodiac,C3->C1->C3
f72v1,cosmo/zodiac,C0->C4->C0
f72v1,cosmo/zodiac,C2->C1->C2
f72v1,cosmo/zodiac,C1->C2->C1
f72v1,cosmo/zodiac,C2->C1->C2
f72v1,cosmo/zodiac,C3->C0->C3
f72v1,cosmo/zodiac,C2->C2->C2
f72v1,cosmo/zodiac,C3->C3->C3
f72v2,cosmo/zodiac,C2->C2->C2
f72v2,cosmo/zodiac,C2->C3->C2
f72v2,cosmo/zodiac,C0->C0->C0
f72v2,cosmo/zodiac,C1->C3->C1
f72v2,cosmo/zodiac,C3->C3->C3
f72v2,cosmo/zodiac,C0->C2->C0
f72v2,cosmo/zodiac,C0->C2->C0
f72v2,cosmo/zodiac,C0->C0->C0
f72v3,cosmo/zodiac,C3->C3->C3
f72v3,cosmo/zodiac,C3->C3->C3
f72v3,cosmo/zodiac,C3->C3->C3
f72v3,cosmo/zodiac,C0->C1->C0
