folio,section,locus,length,trajectory,cell_path,token_path
f100r,pharm-herbal,"12,@P0",3,C0 -> C0 -> C1,sh|eo|other -> sh|o|other -> sh|e|e_grade,sheod shodol sheey
f100r,pharm-herbal,"13,+P0",3,C0 -> C1 -> C3,sh|eo|o_grade -> qok|e|e_grade -> ot|e|e_grade,dsheor qokeey oteey
f100r,pharm-herbal,"14,+P0",7,C0 -> C2 -> C1 -> C0 -> C1 -> C0 -> C2,sh|o|o_grade -> ch|bare|other -> qot|e|e_grade -> qok|eo|aspect -> qot|eo|other -> qok|eo|o_grade -> ot|bare|clitic,shor chkeey qoteey qokeody qoteold qokeol otal
f100r,pharm-herbal,"15,+P0",6,C0 -> C0 -> C1 -> C0 -> C0 -> C1,ch|eo|o_grade -> sh|o|o_grade -> qok|e|other -> ch|o|o_grade -> ch|o|o_grade -> qok|e|aspect,dcheor shol qokeeol chor chol qokeeody
f100r,pharm-herbal,"22,@P0",3,C0 -> C1 -> C1,ch|o|other -> qot|e|other -> sh|e|e_grade,choldaiin qotees shey
f100r,pharm-herbal,"23,+P0",6,C0 -> C0 -> C0 -> C0 -> C0 -> C0,ch|o|o_grade -> sh|o|o_grade -> sh|o|o_grade -> ch|o|o_grade -> ch|o|o_grade -> sh|o|e_grade,chol shol shol chor chol sho
f100r,pharm-herbal,"24,+P0",4,C0 -> C1 -> C0 -> C0,sh|eo|o_grade -> sh|e|e_grade -> ch|o|other -> ch|eo|o_grade,sheor sheey cholsheody cheol
f100r,pharm-herbal,"25,+P0",6,C0 -> C0 -> C3 -> C0 -> C0 -> C0,sh|eo|o_grade -> ch|o|o_grade -> ch|e|other -> ch|eo|o_grade -> ch|eo|other -> ok|eo|o_grade,sheor chol cheky cheol cheockhy okeol
f100r,pharm-herbal,"26,+P0",7,C3 -> C0 -> C0 -> C0 -> C0 -> C3 -> C0,ch|e|other -> ch|o|o_grade -> ch|o|other -> ch|o|other -> qok|eo|o_grade -> ok|e|other -> ch|eo|other,chekeey chol cholody chos qokeol okeeol cheols
f100r,pharm-herbal,"27,+P0",5,C0 -> C0 -> C0 -> C2 -> C2,ch|o|o_grade -> ch|eo|o_grade -> ch|o|e_grade -> ch|bare|other -> ot|o|other,chol cheol cho chckheody otolchey
f100v,pharm-herbal,"14,@P0",5,C0 -> C0 -> C0 -> C3 -> C0,sh|eo|other -> qot|eo|aspect -> ch|o|o_grade -> ot|e|e_grade -> qok|o|other,sheocphy qoteody chor oteey qokomo
f100v,pharm-herbal,"15,+P0",6,C4 -> C0 -> C0 -> C4 -> C0 -> C0,ch|e|e_grade -> ch|eo|o_grade -> ch|o|o_grade -> ch|e|e_grade -> qok|eo|o_grade -> ch|o|other,cheey cheol chol cheey qokeol chotol
f100v,pharm-herbal,"16,+P0",7,C0 -> C4 -> C1 -> C0 -> C3 -> C0 -> C0,ch|o|o_grade -> ch|e|e_grade -> sh|e|other -> ok|eo|o_grade -> ch|e|other -> ok|eo|o_grade -> ok|eo|o_grade,chol chey sheeo okeol ches okeor okeol
f100v,pharm-herbal,"17,+P0",7,C0 -> C0 -> C0 -> C0 -> C0 -> C0 -> C2,ch|o|other -> sh|o|other -> qok|eo|o_grade -> ok|o|o_grade -> ch|o|o_grade -> ch|o|other -> ch|bare|other,chockhey sholkcheol qokeol okol chol chotor chso
f100v,pharm-herbal,"18,+P0",5,C3 -> C3 -> C0 -> C0 -> C0,ch|eo|e_grade -> ch|e|other -> sh|bare|e_grade -> ch|o|other -> qok|eo|o_grade,cheo cheeor sh chod qokeol
f100v,pharm-herbal,"19,+P0",4,C0 -> C0 -> C0 -> C2,ch|eo|other -> ch|o|other -> ch|o|other -> ch|bare|other,cheokeos chockhy chocthey chckhey
f100v,pharm-herbal,"20,+P0",5,C0 -> C1 -> C0 -> C0 -> C0,sh|o|other -> qok|e|e_grade -> ch|o|other -> ch|eo|o_grade -> ch|o|other,shokeesy qokeey chokeol cheor chockhar
f100v,pharm-herbal,"21,+P0",5,C0 -> C0 -> C2 -> C3 -> C0,ok|o|o_grade -> ch|o|e_grade -> ok|bare|clitic -> ch|e|other -> ch|eo|other,okor choy okar cheeeal cheokeol
f100v,pharm-herbal,"22,+P0",2,C3 -> C0,ch|e|other -> ch|o|other,cheky chory
f101r,pharm-herbal,"1,@P0",10,C0 -> C1 -> C0 -> C0 -> C2 -> C0 -> C3 -> C4 -> C3 -> C4,sh|eo|o_grade -> sh|e|e_grade -> sh|o|o_grade -> sh|eo|other -> ch|e|clitic -> ch|o|other -> ch|e|other -> ch|e|e_grade -> ch|e|other -> ch|e|e_grade,sheol shey shor sheockhey chear chopcheey checkhey cheey chekeey chey
f101r,pharm-herbal,"10,+P0",7,C0 -> C0 -> C3 -> C0 -> C2 -> C1 -> C3,ch|o|o_grade -> sh|o|e_grade -> ch|e|other -> ch|o|o_grade -> ch|bare|other -> sh|bare|other -> ok|eo|other,chol sho chees chol chso sha okeoly
f101r,pharm-herbal,"2,+P0",10,C0 -> C2 -> C2 -> C0 -> C1 -> C2 -> C1 -> C0 -> C1 -> C0,ch|o|other -> ch|bare|other -> ok|bare|other -> ok|o|o_grade -> qok|bare|e_grade -> ch|bare|clitic -> ok|e|e_grade -> qok|eo|o_grade -> sh|e|e_grade -> ch|o|o_grade,chokeey chkey okalchol okol qok chal okey qokeol shey chol
f101r,pharm-herbal,"3,+P0",14,C0 -> C0 -> C0 -> C1 -> C1 -> C1 -> C0 -> C0 -> C0 -> C0 -> C0 -> C1 -> C0 -> C4,ok|eo|o_grade -> sh|eo|o_grade -> qok|o|o_grade -> sh|e|e_grade -> sh|e|e_grade -> ok|e|e_grade -> ch|o|o_grade -> sh|eo|aspect -> sh|eo|o_grade -> qot|o|other -> ot|o|o_grade -> sh|e|e_grade -> sh|eo|e_grade -> ch|e|e_grade,okeor sheol qokol shey shey okeey kchol sheody sheor qotoiir otol sheey sheo tchey
f101r,pharm-herbal,"4,+P0",10,C1 -> C1 -> C0 -> C0 -> C0 -> C3 -> C2 -> C0 -> C1 -> C1,sh|e|other -> sh|e|other -> ok|eo|o_grade -> sh|bare|e_grade -> ch|o|o_grade -> ok|e|other -> ch|bare|other -> ok|eo|o_grade -> ok|e|e_grade -> ok|e|e_grade,sheeol sheeol okeol shy chol okeeor chkchol okeol okeey okeey
f101r,pharm-herbal,"5,+P0",15,C0 -> C0 -> C0 -> C0 -> C0 -> C0 -> C0 -> C0 -> C3 -> C4 -> C3 -> C0 -> C0 -> C0 -> C1,ch|eo|o_grade -> ok|o|o_grade -> ch|eo|o_grade -> ch|o|e_grade -> ok|o|o_grade -> ok|eo|o_grade -> ch|o|o_grade -> ch|bare|e_grade -> ot|eo|o_grade -> ch|e|e_grade -> ot|e|other -> sh|eo|o_grade -> ok|eo|o_grade -> ch|o|other -> sh|e|clitic,cheol okor cheol cho okol okeol chol chy oteol chey oteeod sheol okeol chosaiin sheam
f101r,pharm-herbal,"6,+P0",13,C3 -> C0 -> C0 -> C0 -> C0 -> C3 -> C3 -> C0 -> C1 -> C0 -> C0 -> C3 -> C0,ok|e|other -> sh|o|e_grade -> sh|o|aspect -> sh|o|e_grade -> sh|o|o_grade -> ok|e|other -> ch|e|other -> sh|eo|other -> sh|e|other -> ch|bare|e_grade -> ch|o|other -> ch|e|other -> ch|eo|o_grade,okeeol sho shody sho shol okeeeol cheas sheokeey sheeor chchy chodaiin cheeckhey cheol
f101r,pharm-herbal,"7,+P0",8,C2 -> C2 -> C0 -> C0 -> C0 -> C4 -> C0 -> C0,ot|bare|paradigm -> ot|bare|paradigm -> sh|o|other -> sh|eo|o_grade -> sh|eo|o_grade -> ch|e|e_grade -> ch|o|other -> ch|eo|o_grade,otaiin otaiin shotey sheoor sheor qokchey cholp cheol
f101r,pharm-herbal,"8,+P0",12,C3 -> C0 -> C3 -> C0 -> C0 -> C0 -> C0 -> C1 -> C1 -> C1 -> C0 -> C0,ot|eo|o_grade -> ch|o|o_grade -> ot|e|e_grade -> ch|o|other -> sh|o|other -> ch|o|o_grade -> ch|o|o_grade -> qok|bare|e_grade -> ok|e|e_grade -> sh|e|e_grade -> ok|o|o_grade -> ch|eo|o_grade,oteol chor oteey chokchey shok chol chol qoky okeey shey okol cheor
f101r,pharm-herbal,"9,+P0",11,C0 -> C0 -> C3 -> C2 -> C0 -> C0 -> C1 -> C0 -> C0 -> C0 -> C3,ok|eo|o_grade -> ch|eo|o_grade -> ot|e|other -> ch|bare|o_grade -> ch|eo|o_grade -> ok|eo|o_grade -> sh|e|e_grade -> ch|o|other -> qok|eo|o_grade -> ch|o|o_grade -> ch|eo|e_grade,okeol qokcheol otechy chl cheol okeol shey choko qokeol okchol cheo
f101v,pharm-herbal,"19,@P0",6,C0 -> C1 -> C1 -> C0 -> C0 -> C0,ch|eo|other -> sh|e|other -> sh|e|e_grade -> ch|o|e_grade -> ch|o|o_grade -> ch|o|other,cheopor shee otsheey kcho chor choror
f101v,pharm-herbal,"20,+P0",8,C0 -> C0 -> C3 -> C1 -> C0 -> C4 -> C0 -> C3,ch|o|o_grade -> ok|o|o_grade -> ch|e|other -> sh|e|other -> qok|o|o_grade -> ch|e|e_grade -> ch|o|e_grade -> ok|o|aspect,chor okor cheeor sheeol qokol cheey choy okody
f101v,pharm-herbal,"21,+P0",2,C0 -> C3,ch|eo|other -> ch|e|other,cheokal cheeods
f101v,pharm-herbal,"22,+P0",4,C2 -> C3 -> C0 -> C0,ot|bare|clitic -> ok|eo|other -> sh|eo|aspect -> sh|o|other,otal okeod sheody shoytolaiin
f101v,pharm-herbal,"23,+P0",7,C1 -> C1 -> C0 -> C1 -> C0 -> C1 -> C0,ok|e|e_grade -> qok|bare|e_grade -> qok|eo|o_grade -> qok|e|other -> ch|eo|o_grade -> ok|e|e_grade -> ch|o|other,okeey qok qokeol qokeeeor cheor okeey choldy
f101v,pharm-herbal,"24,+P0",8,C0 -> C0 -> C0 -> C0 -> C1 -> C4 -> C0 -> C1,sh|eo|o_grade -> qok|eo|o_grade -> ch|o|other -> ch|o|o_grade -> ch|e|aspect -> ch|e|e_grade -> ch|eo|o_grade -> ch|e|aspect,sheol qokeor chokey chor cheeody cheey cheol cheedy
f101v,pharm-herbal,"25,+P0",6,C0 -> C4 -> C4 -> C1 -> C0 -> C0,ch|o|o_grade -> ch|e|e_grade -> ch|e|e_grade -> ok|e|e_grade -> ch|eo|aspect -> ch|eo|o_grade,chor chey kchey okeey cheody kcheol
f101v,pharm-herbal,"26,+P0",13,C0 -> C3 -> C3 -> C1 -> C0 -> C0 -> C3 -> C4 -> C1 -> C0 -> C0 -> C1 -> C1,ok|eo|o_grade -> ch|eo|e_grade -> ch|e|other -> sh|e|e_grade -> qok|eo|aspect -> ch|eo|o_grade -> ok|eo|e_grade -> ch|e|e_grade -> qok|e|e_grade -> sh|o|o_grade -> ch|eo|o_grade -> sh|e|e_grade -> qok|bare|clitic,okeol cheo ches sheey qokeody cheor okeo cheey qokeey shol cheol shey qokar
f101v,pharm-herbal,"27,+P0",10,C0 -> C0 -> C1 -> C1 -> C0 -> C2 -> C1 -> C0 -> C1 -> C0,ch|o|o_grade -> ch|o|other -> ok|e|e_grade -> sh|bare|other -> ch|o|o_grade -> ch|bare|other -> qok|e|aspect -> ch|eo|o_grade -> qok|e|e_grade -> ch|eo|other,chol choly okeey shckheol chol chs qokeeey cheol qokeey cheodam
f101v,pharm-herbal,"28,+Pc",4,C0 -> C0 -> C0 -> C0,ch|eo|o_grade -> ch|eo|o_grade -> ch|o|other -> ch|o|o_grade,cheol cheol cholaiin chol
f102r1,pharm-herbal,"10,+P0",3,C0 -> C0 -> C0,sh|o|other -> ch|o|o_grade -> ch|o|o_grade,sholdy chol chol
f102r1,pharm-herbal,"11,+P0",5,C3 -> C1 -> C1 -> C0 -> C0,ch|eo|e_grade -> sh|e|e_grade -> ok|eo|aspect -> qok|eo|other -> sh|o|other,dcheo sheey okeody qokeodol shockhey
f102r1,pharm-herbal,"13,@P0",3,C1 -> C1 -> C0,qok|e|e_grade -> sh|e|e_grade -> qok|eo|o_grade,qokey okshey qokeol
f102r1,pharm-herbal,"14,+P0",5,C0 -> C1 -> C3 -> C0 -> C0,qok|eo|e_grade -> sh|e|e_grade -> qot|eo|o_grade -> ok|o|o_grade -> ch|o|other,qokeo shey qoteol okol chos
f102r1,pharm-herbal,"15,+P0",3,C0 -> C1 -> C0,ch|o|o_grade -> sh|e|e_grade -> qok|eo|aspect,chol sheey qokeody
f102r1,pharm-herbal,"16,+P0",2,C0 -> C0,ch|o|other -> ok|eo|o_grade,chordamsoraiin okeol
f102r1,pharm-herbal,"3,@P0",4,C0 -> C3 -> C3 -> C0,sh|o|other -> qot|eo|o_grade -> ot|e|other -> sh|o|other,shocthy qoteol oteeor sholdaiin
f102r1,pharm-herbal,"4,+P0",4,C0 -> C3 -> C2 -> C0,sh|eo|aspect -> ok|e|other -> ch|bare|other -> ch|eo|other,dsheody okeeoy chkeeody qokcheololain
f102r1,pharm-herbal,"5,+P0",4,C0 -> C1 -> C0 -> C0,sh|eo|o_grade -> sh|e|e_grade -> ch|o|o_grade -> qok|o|o_grade,sheol she chol qokol
f102r1,pharm-herbal,"8,@P0",3,C0 -> C3 -> C3,ch|o|other -> ot|eo|o_grade -> qot|eo|o_grade,chopychofol oteol qoteol
f102r1,pharm-herbal,"9,+P0",2,C0 -> C1,qok|eo|other -> sh|bare|aspect,qokeoloteeody qokshdy
f102r2,pharm-herbal,"10,+P0",2,C0 -> C0,sh|o|other -> ch|eo|o_grade,shockhy cheol
f102r2,pharm-herbal,"11,+P0",5,C0 -> C1 -> C1 -> C0 -> C1,ok|o|o_grade -> ok|e|e_grade -> qok|e|e_grade -> sh|eo|aspect -> ok|e|e_grade,okor okeey qokeey sheody okey
f102r2,pharm-herbal,"12,+P0",3,C1 -> C0 -> C3,ok|e|e_grade -> ch|eo|aspect -> ok|e|other,okeey cheody okeady
f102r2,pharm-herbal,"16,@P0",2,C1 -> C0,qok|e|e_grade -> ch|bare|e_grade,qokeey qotchy
f102r2,pharm-herbal,"17,+P0",5,C1 -> C1 -> C1 -> C2 -> C0,ok|e|e_grade -> qok|e|other -> qok|e|e_grade -> ch|bare|other -> ch|o|other,okey qokeeo qokey chkey choky
f102r2,pharm-herbal,"18,+P0",7,C0 -> C1 -> C1 -> C1 -> C0 -> C2 -> C2,ot|o|o_grade -> sh|e|e_grade -> sh|e|e_grade -> sh|e|e_grade -> qok|o|o_grade -> ok|bare|e_grade -> ok|bare|e_grade,otol shey shey sheey qokol oky oky
f102r2,pharm-herbal,"19,+P0",6,C0 -> C3 -> C3 -> C3 -> C1 -> C0,qok|eo|other -> ok|e|clitic -> ok|eo|e_grade -> ch|eo|e_grade -> qok|e|e_grade -> ch|o|aspect,qokeod okeal okeo cheo qokey chody
f102r2,pharm-herbal,"2,@P0",2,C4 -> C3,ch|e|e_grade -> ch|e|other,cheey chefol
f102r2,pharm-herbal,"20,+P0",2,C0 -> C0,ch|eo|other -> ch|eo|aspect,cheos cheody
f102r2,pharm-herbal,"4,+P0",2,C0 -> C0,ok|o|o_grade -> ch|eo|other,okol cheodor
f102r2,pharm-herbal,"5,+P0",4,C0 -> C4 -> C0 -> C0,sh|eo|e_grade -> ch|e|e_grade -> ch|o|o_grade -> ch|o|other,sheo chey chol choky
f102r2,pharm-herbal,"6,+P0",5,C3 -> C0 -> C0 -> C2 -> C3,ok|o|aspect -> qok|eo|aspect -> ok|eo|o_grade -> ch|bare|other -> ot|eo|other,okody qokeody okeol chckhy oteod
f102r2,pharm-herbal,"8,@P0",3,C1 -> C0 -> C1,sh|e|e_grade -> sh|eo|e_grade -> sh|e|e_grade,shey sheo shey
f102r2,pharm-herbal,"9,+P0",4,C1 -> C0 -> C0 -> C1,ok|eo|aspect -> qok|eo|o_grade -> sh|eo|e_grade -> sh|e|e_grade,okeody qokeol sheoy sheey
f102v1,pharm-herbal,"10,+P0",4,C0 -> C1 -> C1 -> C1,ch|o|other -> sh|e|e_grade -> sh|e|e_grade -> qok|e|e_grade,choraiin sheey shey qokey
f102v1,pharm-herbal,"11,+P0",5,C0 -> C0 -> C0 -> C4 -> C0,ch|o|o_grade -> qok|o|o_grade -> ch|eo|o_grade -> ch|e|e_grade -> ch|eo|aspect,chol qokol cheol chey cheody
f102v1,pharm-herbal,"12,+P0",4,C0 -> C0 -> C1 -> C0,ch|eo|o_grade -> ch|eo|o_grade -> sh|e|other -> ch|eo|o_grade,cheol cheol shekcheor cheor
f102v1,pharm-herbal,"13,+P0",3,C0 -> C1 -> C4,ch|eo|o_grade -> qok|bare|clitic -> ch|e|e_grade,cheol qokar cheey
f102v1,pharm-herbal,"14,+P0",3,C0 -> C0 -> C3,ch|o|o_grade -> ch|eo|o_grade -> ot|eo|o_grade,chor cheor oteol
f102v1,pharm-herbal,"19,@P0",2,C0 -> C3,sh|eo|o_grade -> ok|e|other,sheol okeeol
f102v1,pharm-herbal,"20,+P0",5,C1 -> C1 -> C0 -> C0 -> C1,sh|e|e_grade -> qok|e|e_grade -> qok|eo|aspect -> sh|eo|aspect -> ok|e|e_grade,shey qokeey qokeody sheody okeey
f102v1,pharm-herbal,"21,+P0",4,C1 -> C3 -> C0 -> C0,ok|eo|aspect -> ok|o|aspect -> ch|eo|other -> ch|eo|aspect,okeody okody cheodaiin cheody
f102v1,pharm-herbal,"22,+P0",6,C0 -> C0 -> C0 -> C2 -> C3 -> C0,ch|o|other -> qok|eo|other -> ch|eo|o_grade -> ch|bare|other -> ot|eo|aspect -> ch|bare|e_grade,chodaiin qokeos cheol chsey oteody okchy
f102v1,pharm-herbal,"23,+P0",5,C0 -> C0 -> C1 -> C0 -> C0,sh|eo|aspect -> sh|o|e_grade -> qok|e|e_grade -> sh|eo|aspect -> ch|o|aspect,ksheody sho qokey sheody okchody
f102v1,pharm-herbal,"7,@P0",4,C1 -> C0 -> C0 -> C0,sh|e|e_grade -> sh|o|other -> sh|eo|other -> qok|eo|aspect,shey shockhsy sheocthy qokeody
f102v1,pharm-herbal,"8,+P0",5,C4 -> C0 -> C0 -> C1 -> C0,ch|e|e_grade -> qok|eo|o_grade -> ch|eo|o_grade -> qok|e|e_grade -> ch|o|other,chey qokeor cheor qokey choky
f102v1,pharm-herbal,"9,+P0",4,C0 -> C1 -> C3 -> C3,qok|eo|o_grade -> sh|e|other -> ch|eo|e_grade -> qot|eo|o_grade,qokeol sheky cheo qoteor
f102v2,pharm-herbal,"17,@P0",6,C3 -> C0 -> C1 -> C0 -> C1 -> C3,ot|e|other -> sh|eo|o_grade -> qot|e|other -> ch|bare|e_grade -> sh|bare|other -> ch|e|other,oteeos sheor qoteeo ch shkeey chekeod
f102v2,pharm-herbal,"18,+P0",4,C2 -> C0 -> C0 -> C0,ch|bare|other -> ok|eo|o_grade -> ok|eo|o_grade -> sh|bare|e_grade,chyokeor okeol okeol shy
f102v2,pharm-herbal,"19,+P0",2,C0 -> C3,ch|eo|other -> ok|e|other,cheos okeeos
f102v2,pharm-herbal,"20,+P0",7,C0 -> C0 -> C1 -> C0 -> C0 -> C1 -> C1,qok|eo|o_grade -> ch|o|e_grade -> ok|e|aspect -> qok|eo|aspect -> ch|o|other -> qok|e|e_grade -> sh|e|other,qokeor cho okeeey qokeody chockhey qokeey sheeoy
f102v2,pharm-herbal,"21,+P0",5,C3 -> C0 -> C3 -> C4 -> C3,ok|e|other -> ch|eo|o_grade -> ok|e|clitic -> ch|e|e_grade -> ot|eo|e_grade,okeeor cheol okear chey oteo
f102v2,pharm-herbal,"22,+P0",5,C0 -> C0 -> C1 -> C1 -> C0,ch|eo|o_grade -> ch|o|o_grade -> sh|e|e_grade -> ok|eo|aspect -> ok|eo|o_grade,cheol chol sheey okeody okeor
f102v2,pharm-herbal,"23,+P0",4,C1 -> C1 -> C1 -> C1,ok|e|e_grade -> ok|e|e_grade -> sh|e|e_grade -> ok|e|e_grade,okey okey shey okey
f102v2,pharm-herbal,"30,@P0",3,C3 -> C0 -> C1,ot|e|e_grade -> qok|eo|other -> sh|e|e_grade,oteey qokeod sheey
f102v2,pharm-herbal,"31,+P0",3,C1 -> C1 -> C3,sh|e|aspect -> sh|e|other -> ch|e|other,sheeody sheshe chekeey
f102v2,pharm-herbal,"32,+P0",6,C0 -> C0 -> C0 -> C0 -> C2 -> C3,ch|eo|o_grade -> sh|o|clitic -> ok|eo|o_grade -> sh|o|e_grade -> ok|bare|e_grade -> ch|e|other,cheor shoar okeol shoy oky cheeor
f102v2,pharm-herbal,"33,+P0",5,C0 -> C0 -> C0 -> C0 -> C2,qok|eo|o_grade -> sh|o|e_grade -> ch|eo|o_grade -> ch|o|other -> ok|bare|other,qokeor sho cheor chos okaraiin
f102v2,pharm-herbal,"34,+P0",5,C3 -> C0 -> C0 -> C0 -> C1,ok|e|other -> sh|eo|other -> qok|eo|other -> ch|o|o_grade -> ok|e|e_grade,okeeor sheockhey qokeos okchol okey
f102v2,pharm-herbal,"35,+P0",6,C0 -> C1 -> C1 -> C1 -> C3 -> C0,sh|eo|o_grade -> sh|e|other -> sh|e|other -> qok|bare|e_grade -> ch|eo|e_grade -> qok|eo|o_grade,sheol sheeor shekeey qoky cheo qokeol
f102v2,pharm-herbal,"36,+P0",7,C3 -> C4 -> C1 -> C1 -> C1 -> C1 -> C0,ok|e|other -> ch|e|e_grade -> ok|e|e_grade -> ok|e|e_grade -> ok|e|e_grade -> ok|e|e_grade -> qok|eo|o_grade,okeeor cheey okeey okey okey okeey qokeor
f102v2,pharm-herbal,"37,+P0",4,C0 -> C4 -> C1 -> C3,ch|o|o_grade -> ch|e|e_grade -> qok|e|e_grade -> ok|eo|other,tchor chey qokeey okeoroly
f102v2,pharm-herbal,"38,+P0",6,C4 -> C0 -> C1 -> C0 -> C0 -> C3,ch|e|e_grade -> qok|eo|o_grade -> ok|e|e_grade -> ch|o|other -> sh|o|e_grade -> ok|e|other,cheey qokeor okey chos sho okeeo
f102v2,pharm-herbal,"39,+P0",2,C0 -> C3,ch|eo|o_grade -> ch|e|other,cheor cheekey
f103r,stars,"1,@P0",6,C1 -> C3 -> C1 -> C2 -> C1 -> C2,sh|bare|aspect -> ot|e|e_grade -> qot|e|e_grade -> qot|bare|clitic -> sh|e|aspect -> ok|bare|clitic,shdy otey qoteey qotal shedy okal
f103r,stars,"10,+P0",8,C0 -> C0 -> C2 -> C3 -> C1 -> C2 -> C1 -> C1,ok|eo|o_grade -> ch|o|o_grade -> ok|bare|clitic -> ch|e|other -> sh|e|aspect -> ot|bare|paradigm -> sh|e|aspect -> ot|e|aspect,okeol chol okam chety shedy otaiin shedy oteedy
f103r,stars,"11,+P0",7,C3 -> C2 -> C2 -> C4 -> C1 -> C4 -> C0,ot|e|e_grade -> ot|bare|paradigm -> ok|bare|paradigm -> ch|e|e_grade -> sh|e|e_grade -> ot|o|e_grade -> qok|eo|o_grade,oteey otain okain chey shey otoy qokeol
f103r,stars,"12,+P0",6,C1 -> C1 -> C3 -> C0 -> C2 -> C1,sh|e|e_grade -> sh|bare|other -> ot|e|e_grade -> qok|eo|o_grade -> sh|bare|clitic -> ot|e|aspect,shey shckhy oteey qokeol shar otedy
f103r,stars,"13,+P0",8,C0 -> C1 -> C1 -> C1 -> C3 -> C1 -> C1 -> C1,sh|eo|o_grade -> qot|e|aspect -> ok|e|e_grade -> qok|bare|clitic -> ch|e|other -> qok|bare|paradigm -> ch|e|aspect -> sh|bare|aspect,sheor qotedy okeey qokar checkhy qokain chedy tshdy
f103r,stars,"14,+P0",9,C2 -> C1 -> C1 -> C1 -> C1 -> C1 -> C4 -> C2 -> C1,ok|bare|paradigm -> sh|e|other -> ch|e|aspect -> qok|e|other -> qok|bare|e_grade -> sh|e|e_grade -> ch|e|e_grade -> ch|bare|other -> qok|bare|e_grade,okain shekain chedy qokeechy qoky shey chey chcthy qoky
f103r,stars,"15,+P0",5,C1 -> C1 -> C0 -> C1 -> C1,qot|e|aspect -> qok|e|e_grade -> sh|o|o_grade -> qot|e|e_grade -> sh|bare|other,qotedy qokeey shol qotey shkaiin
f103r,stars,"16,+P0",9,C0 -> C0 -> C1 -> C4 -> C1 -> C1 -> C1 -> C4 -> C1,sh|o|o_grade -> sh|o|other -> sh|bare|other -> ch|e|e_grade -> ok|e|e_grade -> sh|bare|other -> ot|e|aspect -> ch|e|e_grade -> sh|bare|other,dshol sholkar shdaiin cheey okeey shcfhedy oteedy tchey shky
f103r,stars,"17,+P0",6,C1 -> C1 -> C1 -> C2 -> C1 -> C2,sh|e|e_grade -> qok|e|e_grade -> qok|e|e_grade -> ch|bare|other -> qok|bare|clitic -> ot|bare|e_grade,shey qokey qokeey chckhy qokal oty
f103r,stars,"18,+P0",8,C0 -> C2 -> C3 -> C3 -> C2 -> C1 -> C1 -> C3,qok|eo|o_grade -> ok|bare|paradigm -> ch|e|other -> ot|e|other -> ok|bare|paradigm -> qok|bare|paradigm -> qok|bare|other -> ot|e|other,qokeol okain checthy oteeylshedy okain qokain qokalshedy oteys
f103r,stars,"19,+P0",8,C2 -> C4 -> C1 -> C1 -> C1 -> C1 -> C3 -> C2,ok|bare|paradigm -> ch|e|e_grade -> sh|e|e_grade -> qok|bare|paradigm -> ch|e|aspect -> qok|bare|paradigm -> ot|eo|o_grade -> ok|bare|other,okaiin chey shey qokaiin chedy qokain oteol okaral
f103r,stars,"2,+P0",4,C1 -> C3 -> C0 -> C1,sh|e|other -> ch|e|other -> ch|bare|e_grade -> ch|e|aspect,shek chep otchy chedy
f103r,stars,"20,+P0",5,C1 -> C1 -> C1 -> C1 -> C1,sh|bare|other -> qok|bare|paradigm -> sh|e|e_grade -> qok|bare|paradigm -> sh|e|aspect,shckhy qokaiin shey qokaiin shedy
f103r,stars,"21,+P0",7,C2 -> C1 -> C3 -> C1 -> C1 -> C2 -> C1,ot|bare|clitic -> qok|bare|clitic -> ch|e|other -> ok|e|aspect -> qok|bare|e_grade -> ok|bare|other -> qok|e|aspect,otal qokal chepy okedy qoky okaly qokeedy
f103r,stars,"22,+P0",9,C2 -> C1 -> C1 -> C1 -> C1 -> C2 -> C2 -> C3 -> C2,ok|bare|paradigm -> sh|bare|other -> sh|bare|other -> qok|e|aspect -> sh|e|aspect -> qot|bare|clitic -> ch|bare|other -> ch|e|other -> ot|bare|clitic,okain shckhody shdal qokeedy shedy qotar chcthy chep otar
f103r,stars,"23,+P0",3,C1 -> C2 -> C0,sh|e|other -> ch|bare|other -> sh|o|o_grade,sheckhy chckhy shol
f103r,stars,"24,+P0",10,C0 -> C3 -> C1 -> C1 -> C2 -> C1 -> C1 -> C3 -> C3 -> C2,ch|o|other -> ok|e|clitic -> sh|e|aspect -> qok|bare|clitic -> ot|bare|e_grade -> qot|bare|paradigm -> sh|bare|other -> ot|e|e_grade -> ot|e|e_grade -> ok|bare|e_grade,tchoky okeal shedy qokal oty qotain shcthy otey oteey oky
f103r,stars,"25,+P0",8,C1 -> C1 -> C2 -> C4 -> C3 -> C1 -> C2 -> C3,sh|e|e_grade -> qok|bare|paradigm -> ch|bare|other -> ch|e|e_grade -> ch|e|other -> ok|e|aspect -> ok|bare|paradigm -> ot|e|e_grade,shey qokain chckhey chey chedal okeeey okain oteey
f103r,stars,"26,+P0",5,C1 -> C1 -> C0 -> C1 -> C1,ot|e|aspect -> ok|e|e_grade -> ch|bare|e_grade -> sh|e|e_grade -> sh|e|e_grade,oteedy okeey qotchy shey shey
