folio,section,locus,length,trajectory,cell_path,token_path
f33v,herbal-A,"6,+P0",4,C2 -> C2 -> C2 -> C2,ok|bare|clitic -> ch|bare|aspect -> ch|bare|aspect -> ch|bare|aspect,okar chdy chdy chdy
f33v,herbal-A,"7,+P0",4,C1 -> C1 -> C1 -> C2,sh|bare|aspect -> sh|e|other -> sh|bare|other -> ok|bare|other,tshdy shefchdy shckhdy okycheol
f33v,herbal-A,"8,+P0",6,C1 -> C0 -> C2 -> C1 -> C2 -> C2,sh|e|e_grade -> ch|bare|e_grade -> ok|bare|clitic -> ok|e|aspect -> ch|bare|other -> ok|bare|other,sheey okchy okar okedy chydaiin okary
f33v,herbal-A,"9,+P0",4,C0 -> C1 -> C0 -> C2,ch|o|o_grade -> sh|bare|other -> sh|o|o_grade -> ch|bare|other,chor shkair shol chckhyar
f34r,herbal-A,"1,@P0",2,C3 -> C0,ok|e|other -> sh|o|other,okedody shod
f34r,herbal-A,"10,+P0",2,C3 -> C3,ch|eo|e_grade -> ch|e|other,tcheo chefalchhs
f34r,herbal-A,"11,+P0",3,C1 -> C0 -> C2,qok|e|e_grade -> sh|bare|e_grade -> ch|bare|other,qokeey sh chty
f34r,herbal-A,"12,+P0",5,C2 -> C0 -> C2 -> C2 -> C1,ch|bare|clitic -> ok|o|o_grade -> ch|bare|other -> ch|bare|other -> qok|bare|clitic,char okor chckhy chdal qokar
f34r,herbal-A,"13,+P0",2,C2 -> C0,ch|bare|aspect -> ch|o|o_grade,qokchdy chor
f34r,herbal-A,"14,+P0",5,C2 -> C1 -> C1 -> C2 -> C3,ok|bare|other -> qok|bare|clitic -> ch|e|aspect -> ch|bare|other -> ch|e|other,okychody qokal chedy chcthedy cheky
f34r,herbal-A,"15,+P0",5,C3 -> C3 -> C1 -> C1 -> C0,ch|e|other -> ch|e|other -> sh|e|other -> qok|e|aspect -> ch|eo|other,chekar cheky shekcholchedy qokedy cheolchcthy
f34r,herbal-A,"2,+P0",4,C0 -> C1 -> C2 -> C0,sh|eo|aspect -> ot|e|aspect -> ch|bare|other -> ch|bare|e_grade,sheody otedy chdain kchy
f34r,herbal-A,"3,+P0",7,C1 -> C2 -> C2 -> C2 -> C1 -> C0 -> C1,qot|e|aspect -> ch|bare|other -> ch|bare|other -> ch|bare|other -> ot|e|aspect -> qot|o|o_grade -> ok|e|aspect,qotedy chyty chdalydar chd otedy qotol okedy
f34r,herbal-A,"4,+P0",4,C4 -> C2 -> C1 -> C3,ch|e|e_grade -> ch|bare|other -> ot|e|aspect -> ch|e|other,chey chckhyoltchedy otedy checthy
f34r,herbal-A,"5,+P0",6,C1 -> C1 -> C1 -> C1 -> C3 -> C2,qot|e|aspect -> sh|e|aspect -> sh|e|aspect -> ch|e|aspect -> ot|e|e_grade -> ok|bare|paradigm,qoteedy shedy shedy chedy otey okaiin
f34r,herbal-A,"6,+P0",4,C3 -> C3 -> C3 -> C3,ot|eo|o_grade -> ch|e|other -> ch|e|other -> ch|e|other,oteol chekey chetey cheky
f34r,herbal-A,"7,+P0",3,C1 -> C2 -> C2,qok|e|aspect -> ch|bare|other -> ch|bare|aspect,qokedy chdyolchyykchyykedy qokchdy
f34r,herbal-A,"8,+P0",2,C1 -> C0,qok|bare|other -> ch|o|other,qokyolkcheckhyys chodar
f34v,herbal-A,"1,@P0",6,C2 -> C3 -> C1 -> C1 -> C2 -> C2,ch|bare|aspect -> ch|e|other -> sh|bare|aspect -> sh|bare|other -> ch|bare|other -> ch|bare|other,chdy chefchy shdy shdydy chdalchdy chcthdy
f34v,herbal-A,"10,+P0",8,C2 -> C2 -> C1 -> C3 -> C2 -> C2 -> C1 -> C2,ch|bare|aspect -> ch|bare|aspect -> ok|e|aspect -> ch|e|other -> ch|bare|aspect -> ch|e|clitic -> ok|e|aspect -> ok|bare|clitic,chdy kchdy okeedy checkhy chdy chear okedy okam
f34v,herbal-A,"11,+P0",3,C1 -> C2 -> C1,ok|e|e_grade -> ok|bare|clitic -> sh|e|aspect,okey okal shedy
f34v,herbal-A,"2,+P0",4,C0 -> C0 -> C2 -> C2,ch|bare|e_grade -> ch|bare|e_grade -> ch|bare|other -> ch|bare|other,qokchy okchy chckhdy chdaiin
f34v,herbal-A,"3,+P0",6,C0 -> C2 -> C2 -> C2 -> C2 -> C2,sh|o|o_grade -> ch|bare|other -> ch|bare|clitic -> ch|bare|other -> ch|bare|aspect -> ch|bare|other,shor chdal char chcthy okchdy chckhy
