from_cell,to_cell,count
sh|o|other,sh|eo|o_grade,1
sh|eo|o_grade,sh|eo|o_grade,3
sh|eo|o_grade,ch|e|e_grade,6
ch|e|e_grade,ch|o|other,28
ot|eo|o_grade,ch|o|o_grade,3
ot|e|e_grade,ch|o|other,8
sh|o|other,ch|o|o_grade,16
ch|o|o_grade,qok|bare|e_grade,2
qok|bare|e_grade,ok|e|e_grade,1
ok|e|e_grade,sh|e|e_grade,7
sh|e|e_grade,ok|o|o_grade,2
ok|eo|o_grade,ch|eo|o_grade,2
ch|eo|o_grade,ot|e|other,2
ot|e|other,ch|bare|o_grade,1
ch|bare|o_grade,ch|eo|o_grade,1
ch|eo|o_grade,ok|eo|o_grade,1
ok|eo|o_grade,sh|e|e_grade,3
qok|eo|o_grade,ch|o|o_grade,4
ch|o|o_grade,ch|eo|e_grade,3
ch|eo|other,sh|e|other,6
sh|e|other,sh|e|e_grade,11
sh|e|e_grade,ch|o|e_grade,2
ch|o|e_grade,ch|o|o_grade,13
ch|o|o_grade,ok|o|o_grade,5
ok|o|o_grade,ch|e|other,4
ch|e|other,sh|e|other,23
sh|e|other,qok|o|o_grade,3
qok|o|o_grade,ch|e|e_grade,3
ch|e|e_grade,ch|o|e_grade,2
ch|o|e_grade,ok|o|aspect,1
ch|eo|other,ch|e|other,12
ot|bare|clitic,ok|eo|other,3
ok|eo|other,sh|eo|aspect,1
sh|eo|aspect,sh|o|other,2
ok|e|e_grade,qok|bare|e_grade,2
qok|bare|e_grade,qok|eo|o_grade,1
qok|eo|o_grade,qok|e|other,1
qok|e|other,ch|eo|o_grade,2
ch|eo|o_grade,ok|e|e_grade,6
ok|e|e_grade,ch|o|other,5
sh|eo|o_grade,qok|eo|o_grade,2
ch|o|other,ch|o|o_grade,47
ch|o|o_grade,ch|e|aspect,13
ch|e|aspect,ch|e|e_grade,15
ch|eo|o_grade,ch|e|aspect,11
ch|e|e_grade,ch|e|e_grade,37
ch|e|e_grade,ok|e|e_grade,12
ok|e|e_grade,ch|eo|aspect,4
ch|eo|aspect,ch|eo|o_grade,2
ok|eo|o_grade,ch|eo|e_grade,2
ch|e|other,sh|e|e_grade,18
sh|e|e_grade,qok|eo|aspect,2
qok|eo|aspect,ch|eo|o_grade,3
ch|eo|o_grade,ok|eo|e_grade,2
ok|eo|e_grade,ch|e|e_grade,3
ch|e|e_grade,qok|e|e_grade,36
qok|e|e_grade,sh|o|o_grade,2
sh|o|o_grade,ch|eo|o_grade,3
ch|eo|o_grade,sh|e|e_grade,8
sh|e|e_grade,qok|bare|clitic,16
ch|o|other,ok|e|e_grade,6
ok|e|e_grade,sh|bare|other,3
sh|bare|other,ch|o|o_grade,3
ch|bare|other,qok|e|aspect,16
qok|e|aspect,ch|eo|o_grade,4
ch|eo|o_grade,qok|e|e_grade,5
qok|e|e_grade,ch|eo|other,4
ch|eo|o_grade,ch|eo|o_grade,11
ch|eo|e_grade,sh|e|e_grade,3
sh|e|e_grade,ok|eo|aspect,3
ok|eo|aspect,qok|eo|other,1
qok|eo|other,sh|o|other,1
qok|e|e_grade,sh|e|e_grade,7
sh|e|e_grade,qok|eo|o_grade,3
qok|eo|e_grade,sh|e|e_grade,1
sh|e|e_grade,qot|eo|o_grade,1
qot|eo|o_grade,ok|o|o_grade,1
ok|o|o_grade,ch|o|other,4
ch|o|o_grade,sh|e|e_grade,8
ch|o|other,ok|eo|o_grade,2
sh|o|other,qot|eo|o_grade,1
qot|eo|o_grade,ot|e|other,1
ot|e|other,sh|o|other,2
sh|eo|aspect,ok|e|other,1
ch|bare|other,ch|eo|other,11
ch|o|o_grade,qok|o|o_grade,5
ch|o|other,ot|eo|o_grade,2
ot|eo|o_grade,qot|eo|o_grade,1
qok|eo|other,sh|bare|aspect,1
sh|o|other,ch|eo|o_grade,5
ok|o|o_grade,ok|e|e_grade,4
ok|e|e_grade,qok|e|e_grade,12
qok|e|e_grade,sh|eo|aspect,2
sh|eo|aspect,ok|e|e_grade,2
ch|eo|aspect,ok|e|other,1
qok|e|e_grade,ch|bare|e_grade,2
ok|e|e_grade,qok|e|other,5
qok|e|other,qok|e|e_grade,8
qok|e|e_grade,ch|bare|other,22
ch|bare|other,ch|o|other,33
sh|e|e_grade,qok|o|o_grade,6
qok|o|o_grade,ok|bare|e_grade,4
ok|bare|e_grade,ok|bare|e_grade,1
qok|eo|other,ok|e|clitic,1
ok|e|clitic,ok|eo|e_grade,1
ok|eo|e_grade,ch|eo|e_grade,1
ch|eo|e_grade,qok|e|e_grade,1
qok|e|e_grade,ch|o|aspect,1
ch|eo|other,ch|eo|aspect,6
ok|o|o_grade,ch|eo|other,1
ch|e|e_grade,ch|o|o_grade,21
ok|o|aspect,qok|eo|aspect,1
qok|eo|aspect,ok|eo|o_grade,1
ok|eo|o_grade,ch|bare|other,1
ch|bare|other,ot|eo|other,3
sh|eo|e_grade,sh|e|e_grade,2
ok|eo|aspect,qok|eo|o_grade,1
qok|eo|o_grade,sh|eo|e_grade,1
ch|o|other,sh|e|e_grade,7
sh|e|e_grade,qok|e|e_grade,23
qok|o|o_grade,ch|eo|o_grade,7
ch|eo|o_grade,ch|e|e_grade,13
ch|e|e_grade,ch|eo|aspect,2
ch|eo|o_grade,sh|e|other,5
sh|e|other,ch|eo|o_grade,6
ch|eo|o_grade,qok|bare|clitic,3
qok|bare|clitic,ch|e|e_grade,15
ch|eo|o_grade,ot|eo|o_grade,1
sh|eo|o_grade,ok|e|other,1
qok|e|e_grade,qok|eo|aspect,3
qok|eo|aspect,sh|eo|aspect,1
ok|eo|aspect,ok|o|aspect,1
ok|o|aspect,ch|eo|other,1
ch|o|other,qok|eo|other,2
qok|eo|other,ch|eo|o_grade,1
ch|eo|o_grade,ch|bare|other,11
ch|bare|other,ot|eo|aspect,3
ot|eo|aspect,ch|bare|e_grade,2
sh|eo|aspect,sh|o|e_grade,2
sh|o|e_grade,qok|e|e_grade,1
sh|eo|aspect,ch|o|aspect,2
sh|e|e_grade,sh|o|other,8
sh|o|other,sh|eo|other,3
sh|eo|other,qok|eo|aspect,1
qok|eo|o_grade,ch|eo|o_grade,2
qok|eo|o_grade,sh|e|other,2
sh|e|other,ch|eo|e_grade,1
ch|eo|e_grade,qot|eo|o_grade,1
sh|eo|o_grade,qot|e|other,1
qot|e|other,ch|bare|e_grade,2
ch|bare|e_grade,sh|bare|other,5
sh|bare|other,ch|e|other,11
ch|eo|other,ok|e|other,4
qok|eo|o_grade,ch|o|e_grade,1
ch|o|e_grade,ok|e|aspect,1
ok|e|aspect,qok|eo|aspect,2
qok|eo|aspect,ch|o|other,2
ch|o|other,qok|e|e_grade,4
qok|e|e_grade,sh|e|other,7
ok|e|other,ch|eo|o_grade,2
ch|eo|o_grade,ok|e|clitic,1
ok|e|clitic,ch|e|e_grade,1
ch|e|e_grade,ot|eo|e_grade,2
ok|eo|aspect,ok|eo|o_grade,1
ot|e|e_grade,qok|eo|other,1
qok|eo|other,sh|e|e_grade,2
sh|e|aspect,sh|e|other,12
sh|e|other,ch|e|other,16
ch|eo|o_grade,sh|o|clitic,1
sh|o|clitic,ok|eo|o_grade,1
ok|eo|o_grade,sh|o|e_grade,1
sh|o|e_grade,ok|bare|e_grade,2
ok|bare|e_grade,ch|e|other,3
qok|eo|o_grade,sh|o|e_grade,1
sh|o|e_grade,ch|eo|o_grade,5
ch|o|other,ok|bare|other,7
ok|e|other,sh|eo|other,2
sh|eo|other,qok|eo|other,1
qok|eo|other,ch|o|o_grade,1
ch|o|o_grade,ok|e|e_grade,3
sh|eo|o_grade,sh|e|other,2
sh|e|other,qok|bare|e_grade,3
qok|bare|e_grade,ch|eo|e_grade,1
ch|eo|e_grade,qok|eo|o_grade,1
ok|e|other,ch|e|e_grade,9
qok|e|e_grade,ok|eo|other,4
qok|eo|o_grade,ok|e|e_grade,4
ch|o|other,sh|o|e_grade,15
sh|o|e_grade,ok|e|other,1
ch|eo|o_grade,ch|e|other,17
sh|bare|aspect,ot|e|e_grade,2
ot|e|e_grade,qot|e|e_grade,2
qot|e|e_grade,qot|bare|clitic,1
qot|bare|clitic,sh|e|aspect,11
sh|e|aspect,ok|bare|clitic,7
ch|o|o_grade,ok|bare|clitic,7
ch|e|other,sh|e|aspect,26
sh|e|aspect,ot|bare|paradigm,9
ot|bare|paradigm,sh|e|aspect,13
sh|e|aspect,ot|e|aspect,12
ot|e|e_grade,ot|bare|paradigm,7
ot|bare|paradigm,ok|bare|paradigm,7
ok|bare|paradigm,ch|e|e_grade,19
ch|e|e_grade,sh|e|e_grade,20
sh|e|e_grade,ot|o|e_grade,1
ot|o|e_grade,qok|eo|o_grade,1
sh|e|e_grade,sh|bare|other,6
sh|bare|other,ot|e|e_grade,3
ot|e|e_grade,qok|eo|o_grade,1
qok|eo|o_grade,sh|bare|clitic,1
sh|bare|clitic,ot|e|aspect,2
sh|eo|o_grade,qot|e|aspect,2
qot|e|aspect,ok|e|e_grade,1
ok|e|e_grade,qok|bare|clitic,4
qok|bare|clitic,ch|e|other,15
ch|e|other,qok|bare|paradigm,20
qok|bare|paradigm,ch|e|aspect,35
ch|e|aspect,sh|bare|aspect,3
ok|bare|paradigm,sh|e|other,10
sh|e|other,ch|e|aspect,18
ch|e|aspect,qok|e|other,9
qok|e|other,qok|bare|e_grade,2
qok|bare|e_grade,sh|e|e_grade,2
sh|e|e_grade,ch|e|e_grade,19
ch|e|e_grade,ch|bare|other,33
ch|bare|other,qok|bare|e_grade,10
qot|e|aspect,qok|e|e_grade,5
sh|o|o_grade,qot|e|e_grade,2
qot|e|e_grade,sh|bare|other,1
sh|o|o_grade,sh|o|other,14
sh|o|other,sh|bare|other,10
sh|bare|other,ch|e|e_grade,5
sh|bare|other,ot|e|aspect,2
ot|e|aspect,ch|e|e_grade,6
ch|e|e_grade,sh|bare|other,9
qok|e|e_grade,qok|e|e_grade,23
ch|bare|other,qok|bare|clitic,20
qok|bare|clitic,ot|bare|e_grade,4
qok|eo|o_grade,ok|bare|paradigm,1
ok|bare|paradigm,ch|e|other,14
ch|e|other,ot|e|other,8
ot|e|other,ok|bare|paradigm,3
ok|bare|paradigm,qok|bare|paradigm,11
qok|bare|paradigm,qok|bare|other,4
qok|bare|other,ot|e|other,1
sh|e|e_grade,qok|bare|paradigm,40
ch|e|aspect,qok|bare|paradigm,41
qok|bare|paradigm,ot|eo|o_grade,1
ot|eo|o_grade,ok|bare|other,1
ch|e|other,ch|bare|e_grade,6
ch|bare|e_grade,ch|e|aspect,5
sh|bare|other,qok|bare|paradigm,5
qok|bare|paradigm,sh|e|e_grade,18
qok|bare|paradigm,sh|e|aspect,34
ot|bare|clitic,qok|bare|clitic,9
ch|e|other,ok|e|aspect,14
ok|e|aspect,qok|bare|e_grade,7
qok|bare|e_grade,ok|bare|other,1
ok|bare|other,qok|e|aspect,4
ok|bare|paradigm,sh|bare|other,7
sh|bare|other,sh|bare|other,15
sh|bare|other,qok|e|aspect,10
qok|e|aspect,sh|e|aspect,28
sh|e|aspect,qot|bare|clitic,7
qot|bare|clitic,ch|bare|other,8
ch|bare|other,ch|e|other,38
ch|e|other,ot|bare|clitic,8
sh|e|other,ch|bare|other,21
ch|bare|other,sh|o|o_grade,9
ch|o|other,ok|e|clitic,2
ok|e|clitic,sh|e|aspect,2
sh|e|aspect,qok|bare|clitic,26
ot|bare|e_grade,qot|bare|paradigm,1
qot|bare|paradigm,sh|bare|other,4
ot|e|e_grade,ot|e|e_grade,9
ot|e|e_grade,ok|bare|e_grade,1
qok|bare|paradigm,ch|bare|other,44
ch|bare|other,ch|e|e_grade,26
ok|e|aspect,ok|bare|paradigm,5
ok|bare|paradigm,ot|e|e_grade,4
ot|e|aspect,ok|e|e_grade,3
ok|e|e_grade,ch|bare|e_grade,1
ch|bare|e_grade,sh|e|e_grade,4
qok|e|other,ok|e|e_grade,6
qok|e|e_grade,ch|e|e_grade,17
qok|e|e_grade,ok|e|e_grade,17
ok|e|e_grade,qok|bare|other,3
qok|e|aspect,ok|bare|paradigm,16
ok|bare|paradigm,ch|e|aspect,18
ch|e|aspect,qok|e|e_grade,39
qok|e|e_grade,ot|bare|paradigm,4
ot|bare|paradigm,ch|e|e_grade,7
qok|e|other,sh|o|other,2
qok|e|e_grade,ch|bare|clitic,3
ch|bare|clitic,ch|e|aspect,8
sh|e|other,ch|eo|other,10
ch|eo|other,ch|e|aspect,4
ch|e|aspect,ch|bare|other,38
ch|bare|other,ok|bare|paradigm,17
ok|bare|paradigm,ot|bare|e_grade,3
ot|bare|e_grade,ot|bare|clitic,4
ot|bare|clitic,ch|bare|clitic,3
sh|e|other,qok|e|e_grade,15
qok|e|e_grade,ok|bare|paradigm,7
ok|bare|paradigm,sh|e|aspect,11
sh|e|aspect,ch|bare|other,16
ch|bare|other,ot|e|other,7
ot|e|other,ch|bare|other,12
ch|o|o_grade,ch|bare|clitic,18
ch|bare|clitic,ok|bare|paradigm,6
sh|bare|other,qok|bare|clitic,8
qok|bare|clitic,sh|bare|other,7
sh|bare|other,ch|bare|aspect,7
ch|bare|aspect,ok|bare|paradigm,5
ok|bare|paradigm,ch|bare|other,24
ok|e|e_grade,sh|e|aspect,6
sh|e|aspect,qok|e|aspect,65
qok|e|aspect,qok|bare|clitic,22
qok|bare|clitic,sh|e|other,16
sh|e|other,ot|e|aspect,8
ot|e|aspect,sh|bare|other,3
qok|e|e_grade,ch|e|other,19
ch|e|other,qok|e|e_grade,9
qok|e|e_grade,sh|bare|other,6
sh|bare|other,ch|o|other,5
ch|o|other,qok|bare|clitic,6
qok|bare|clitic,sh|e|aspect,33
sh|e|aspect,qot|bare|other,4
qot|bare|other,sh|e|aspect,2
sh|eo|other,ch|e|other,2
ch|bare|paradigm,ch|e|e_grade,3
ch|e|e_grade,sh|eo|o_grade,4
sh|e|other,qok|e|aspect,27
ok|o|o_grade,ch|e|aspect,4
ch|e|aspect,ok|e|aspect,22
ok|e|aspect,qok|e|aspect,17
qok|e|aspect,qok|e|e_grade,20
qok|e|e_grade,sh|bare|aspect,3
ot|e|e_grade,qok|e|e_grade,8
qok|e|e_grade,qok|eo|other,3
qok|eo|other,sh|bare|e_grade,1
sh|bare|e_grade,qok|e|aspect,2
qok|e|aspect,ch|bare|aspect,10
ch|bare|aspect,ch|bare|other,21
ot|e|other,qok|bare|paradigm,2
qok|bare|paradigm,sh|bare|other,18
sh|bare|other,ch|bare|other,17
sh|e|aspect,ok|e|e_grade,3
qok|e|e_grade,qot|bare|clitic,2
sh|e|aspect,ot|e|e_grade,8
qok|e|aspect,ok|e|aspect,15
ok|e|aspect,qok|e|e_grade,8
ok|e|e_grade,ch|bare|other,4
sh|e|other,sh|bare|other,13
sh|bare|other,sh|eo|o_grade,2
sh|eo|o_grade,sh|o|other,4
sh|o|other,ot|e|aspect,2
ot|e|aspect,qot|e|e_grade,3
qot|e|e_grade,ot|bare|clitic,3
ch|eo|o_grade,sh|e|aspect,8
sh|e|aspect,qot|e|e_grade,4
qot|e|e_grade,ot|e|other,1
ot|e|other,ot|e|aspect,4
ot|e|aspect,sh|e|other,6
sh|e|other,sh|o|e_grade,1
sh|o|e_grade,sh|e|e_grade,6
sh|e|e_grade,qok|e|aspect,19
sh|e|e_grade,sh|eo|o_grade,2
sh|eo|o_grade,ch|eo|other,3
ch|eo|other,ch|bare|other,11
ch|e|clitic,sh|e|e_grade,3
sh|e|e_grade,qot|bare|clitic,2
qot|bare|clitic,sh|e|clitic,1
sh|e|clitic,qok|bare|clitic,1
sh|e|aspect,ok|e|other,6
ok|e|other,sh|o|other,3
sh|o|other,qok|bare|paradigm,5
sh|e|e_grade,sh|e|clitic,1
sh|e|clitic,sh|e|aspect,2
qok|e|aspect,qok|e|aspect,72
qok|e|aspect,sh|o|o_grade,3
sh|o|o_grade,sh|e|other,7
ch|e|aspect,qot|e|aspect,12
qot|e|aspect,ot|e|aspect,7
ch|o|o_grade,qok|e|e_grade,2
qok|e|e_grade,ch|eo|o_grade,3
ch|o|other,sh|e|aspect,5
sh|e|aspect,qok|e|e_grade,28
ok|e|other,qok|bare|other,2
qot|o|other,qok|e|e_grade,1
sh|bare|other,ch|bare|e_grade,7
ok|e|e_grade,sh|e|other,4
qok|e|e_grade,sh|eo|o_grade,1
sh|eo|o_grade,qok|e|aspect,10
sh|e|aspect,qok|bare|e_grade,10
ok|e|other,sh|e|aspect,6
sh|e|other,ok|bare|other,4
ok|bare|other,sh|e|aspect,2
sh|e|aspect,ok|bare|aspect,1
ok|e|e_grade,qok|bare|paradigm,6
qok|bare|paradigm,ch|e|e_grade,22
ch|e|e_grade,qot|bare|paradigm,6
sh|e|e_grade,ch|eo|other,5
qok|e|e_grade,qot|bare|e_grade,4
qot|bare|e_grade,ch|e|other,6
ch|e|other,ot|bare|other,8
qok|e|aspect,qok|bare|paradigm,29
qok|bare|paradigm,sh|bare|aspect,2
sh|bare|aspect,qok|e|e_grade,1
qok|e|e_grade,ch|e|aspect,15
sh|e|e_grade,qot|e|aspect,9
sh|e|other,ok|e|aspect,9
ok|e|aspect,ok|e|e_grade,6
sh|e|aspect,qok|e|other,9
qok|e|other,sh|bare|other,1
sh|bare|other,qot|e|aspect,5
qot|e|aspect,ot|bare|other,2
sh|bare|other,qok|e|e_grade,5
qok|e|e_grade,ok|e|aspect,9
ok|e|aspect,sh|e|aspect,7
ok|e|e_grade,ch|e|aspect,11
ch|e|aspect,ok|e|e_grade,8
ok|e|e_grade,ok|e|other,6
ok|e|other,qot|bare|clitic,1
ot|e|other,ch|e|clitic,2
ch|e|clitic,ok|e|e_grade,2
sh|e|e_grade,ot|bare|paradigm,8
ot|e|e_grade,ok|e|other,3
qok|bare|e_grade,qok|e|e_grade,1
qok|e|e_grade,ok|e|other,5
ok|e|other,qot|e|other,1
qot|e|other,sh|e|aspect,1
ch|e|e_grade,qok|e|other,3
ok|e|e_grade,ot|e|aspect,4
ot|e|aspect,sh|eo|o_grade,1
sh|eo|o_grade,qot|bare|paradigm,2
qok|e|aspect,qok|bare|e_grade,12
qok|bare|e_grade,qok|bare|clitic,3
sh|e|aspect,ok|e|aspect,9
qok|e|e_grade,sh|e|aspect,10
sh|e|aspect,sh|e|aspect,29
ot|e|e_grade,sh|bare|aspect,3
sh|bare|aspect,ok|e|e_grade,1
ok|e|e_grade,ok|bare|clitic,4
sh|eo|o_grade,sh|o|e_grade,1
sh|o|e_grade,qok|e|aspect,1
qok|e|e_grade,ot|e|aspect,9
ot|e|aspect,qok|bare|paradigm,5
qok|bare|paradigm,ot|bare|clitic,15
ot|bare|clitic,ot|bare|clitic,15
sh|e|e_grade,ch|bare|e_grade,7
ch|bare|e_grade,ot|bare|paradigm,2
sh|e|other,ok|e|other,6
qok|e|aspect,ch|e|aspect,34
ch|e|aspect,qot|e|e_grade,5
qot|e|e_grade,ot|e|aspect,2
ot|e|aspect,sh|e|aspect,13
qok|bare|clitic,ch|bare|clitic,8
ch|bare|clitic,ot|bare|clitic,6
ch|bare|other,ch|e|aspect,24
ch|e|aspect,ot|e|aspect,12
ot|e|aspect,qok|e|other,4
ch|e|aspect,ch|e|other,32
qok|e|aspect,qot|eo|o_grade,1
qot|eo|o_grade,sh|e|e_grade,1
sh|e|e_grade,qot|bare|e_grade,2
qot|bare|e_grade,ch|bare|other,3
ch|bare|other,qot|bare|paradigm,3
qot|bare|paradigm,ch|bare|other,13
ot|bare|clitic,ok|bare|paradigm,6
ok|bare|paradigm,ot|e|clitic,1
ot|e|clitic,ok|bare|paradigm,1
ok|bare|paradigm,qot|bare|clitic,4
sh|bare|clitic,qok|e|other,1
qok|e|other,ot|e|aspect,4
ot|e|aspect,sh|eo|other,3
sh|eo|other,ot|bare|clitic,1
sh|bare|e_grade,qot|bare|other,1
qot|bare|other,qok|bare|paradigm,2
ch|e|e_grade,ot|e|e_grade,6
ot|e|e_grade,ot|bare|clitic,2
ot|bare|clitic,ot|e|clitic,2
ot|e|clitic,qot|bare|e_grade,1
qok|e|e_grade,ot|bare|clitic,3
ot|bare|clitic,ot|bare|paradigm,8
qok|bare|clitic,ot|e|aspect,5
ot|e|aspect,qot|bare|paradigm,5
qot|bare|paradigm,ot|bare|clitic,5
ot|bare|clitic,ot|bare|e_grade,4
ot|bare|e_grade,ot|e|other,3
sh|e|other,ot|e|e_grade,3
ot|e|e_grade,ot|e|paradigm,1
ok|e|e_grade,ot|e|clitic,1
ot|e|clitic,ot|e|aspect,1
ot|e|aspect,qot|bare|clitic,4
qot|bare|clitic,ot|bare|other,3
ch|e|other,sh|bare|other,10
sh|bare|other,ot|e|other,3
ch|e|e_grade,ot|e|aspect,4
ch|e|e_grade,sh|o|e_grade,2
sh|o|e_grade,ch|bare|other,5
ch|bare|other,qok|e|e_grade,10
qok|bare|e_grade,ch|e|aspect,11
ch|bare|other,ch|bare|clitic,15
ch|bare|clitic,qot|bare|e_grade,2
qot|bare|e_grade,sh|bare|aspect,1
sh|bare|aspect,ok|e|aspect,2
qok|e|e_grade,qok|bare|paradigm,13
ok|bare|paradigm,ot|e|aspect,10
ok|e|e_grade,ch|e|e_grade,9
qok|e|aspect,ch|e|e_grade,14
ch|e|e_grade,qot|e|e_grade,2
qot|e|e_grade,ch|o|other,1
ch|o|other,sh|bare|clitic,3
sh|bare|clitic,ch|e|aspect,1
qok|bare|paradigm,ok|e|e_grade,2
ok|e|e_grade,ok|bare|paradigm,3
ok|bare|paradigm,ch|eo|aspect,4
ch|eo|aspect,ot|e|e_grade,1
ot|e|e_grade,sh|bare|other,2
ch|e|e_grade,qok|bare|e_grade,8
qok|bare|paradigm,ch|e|other,44
ch|e|other,ot|e|aspect,15
ch|bare|other,ot|bare|e_grade,12
ot|bare|e_grade,ok|e|aspect,2
ok|e|aspect,ot|bare|other,2
sh|e|e_grade,qok|e|other,6
qok|e|other,sh|bare|aspect,2
sh|bare|aspect,ch|e|other,2
ot|e|e_grade,ch|e|other,11
ok|e|e_grade,sh|o|o_grade,1
ok|e|other,sh|e|other,3
sh|e|other,ot|bare|e_grade,1
ok|e|e_grade,qot|e|aspect,1
sh|e|clitic,sh|e|e_grade,4
sh|bare|other,ot|bare|clitic,1
ot|bare|clitic,sh|e|aspect,6
sh|e|other,ch|e|e_grade,10
