section,conditional_entropy
balneo,4.406021626725566
cosmo/zodiac,4.394236170054494
herbal-A,4.4549832783198955
pharm-herbal,4.148826709151228
rosettes,3.559494182242137
stars,4.875557917328394
unknown,
