core,standalone_count,derived_total,n_distinct_clitics,cl_d,cl_s,cl_t,cl_k,cl_l,cl_y,cl_q,cl_qo,cl_qok,cl_qot,cl_ok,cl_ot,cl_ol,cl_or,cl_sh,cl_ch,cl_cth,cl_p,cl_r,cl_o
odar,24,43,6,0,4,3,0,0,0,12,0,0,0,5,6,0,0,0,13,0,0,0,0
oaiin,26,42,5,0,4,3,0,0,0,23,0,0,0,0,0,0,0,4,8,0,0,0,0
om,22,42,8,7,0,0,3,4,0,0,0,0,0,0,0,3,3,4,13,5,0,0,0
dain,214,41,4,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,9,0,0,0,17
od,9,39,6,0,0,0,0,0,0,6,0,7,0,3,0,0,0,11,9,3,0,0,0
cheo,76,39,8,7,0,5,3,3,11,0,0,0,4,0,0,3,0,0,0,0,3,0,0
kchol,25,38,4,0,0,0,0,0,6,0,15,0,0,0,0,0,0,0,3,0,0,0,14
keeol,14,37,4,0,0,0,0,3,10,0,9,0,0,0,0,0,0,0,0,0,0,0,15
keo,9,36,4,0,0,0,0,3,4,0,10,0,0,0,0,0,0,0,0,0,0,0,19
eeedy,7,33,7,0,0,4,7,0,0,0,3,5,3,8,3,0,0,0,0,0,0,0,0
chody,92,32,6,0,0,9,4,0,0,0,0,0,3,6,4,0,0,0,0,0,6,0,0
sho,125,30,5,8,0,5,8,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0
shdy,45,30,8,4,0,5,4,3,0,0,0,4,3,0,3,4,0,0,0,0,0,0,0
