section,community,relative_pos
pharm-herbal,C0,0.36
pharm-herbal,C0,0.64
pharm-herbal,C0,0.73
pharm-herbal,C0,0.82
pharm-herbal,C1,0.91
pharm-herbal,C1,1.73
pharm-herbal,C1,1.91
pharm-herbal,C0,2.09
pharm-herbal,C0,2.18
pharm-herbal,C0,0.1
pharm-herbal,C0,0.2
pharm-herbal,C3,0.6
pharm-herbal,C2,1.0
pharm-herbal,C0,1.2
pharm-herbal,C0,1.3
pharm-herbal,C1,1.4
pharm-herbal,C0,1.7
pharm-herbal,C0,1.8
pharm-herbal,C0,2.2
pharm-herbal,C3,2.3
pharm-herbal,C0,0.2
pharm-herbal,C1,1.2
pharm-herbal,C1,2.0
pharm-herbal,C0,2.2
pharm-herbal,C0,2.6
pharm-herbal,C0,3.0
pharm-herbal,C0,0.86
pharm-herbal,C0,1.29
pharm-herbal,C3,1.43
pharm-herbal,C1,1.57
pharm-herbal,C0,1.71
pharm-herbal,C4,2.0
pharm-herbal,C0,2.57
pharm-herbal,C3,3.0
pharm-herbal,C0,2.0
pharm-herbal,C3,3.0
pharm-herbal,C2,1.0
pharm-herbal,C3,2.33
pharm-herbal,C0,4.33
pharm-herbal,C0,5.0
pharm-herbal,C1,0.67
pharm-herbal,C1,0.83
pharm-herbal,C0,1.67
pharm-herbal,C1,2.5
pharm-herbal,C0,3.0
pharm-herbal,C1,3.17
pharm-herbal,C0,3.33
pharm-herbal,C0,0.14
pharm-herbal,C0,0.29
pharm-herbal,C0,0.71
pharm-herbal,C0,0.86
pharm-herbal,C1,1.14
pharm-herbal,C4,1.29
pharm-herbal,C0,1.57
pharm-herbal,C1,2.0
pharm-herbal,C0,0.6
pharm-herbal,C4,1.4
pharm-herbal,C4,1.6
pharm-herbal,C1,1.8
pharm-herbal,C0,2.4
pharm-herbal,C0,2.6
pharm-herbal,C0,0.08
pharm-herbal,C3,0.17
pharm-herbal,C3,0.33
pharm-herbal,C1,0.42
pharm-herbal,C0,0.58
pharm-herbal,C0,0.67
pharm-herbal,C3,0.75
pharm-herbal,C4,0.83
pharm-herbal,C1,1.17
pharm-herbal,C0,1.25
pharm-herbal,C0,1.42
pharm-herbal,C1,1.58
pharm-herbal,C1,1.67
pharm-herbal,C0,0.11
pharm-herbal,C0,0.22
pharm-herbal,C1,0.33
pharm-herbal,C1,0.67
pharm-herbal,C0,0.78
pharm-herbal,C2,1.22
pharm-herbal,C1,1.44
pharm-herbal,C0,1.78
pharm-herbal,C1,1.89
pharm-herbal,C0,2.11
pharm-herbal,C0,0.33
pharm-herbal,C0,1.33
pharm-herbal,C0,2.0
pharm-herbal,C0,2.33
pharm-herbal,C0,0.5
pharm-herbal,C0,1.0
pharm-herbal,C0,1.5
pharm-herbal,C3,0.0
pharm-herbal,C1,0.75
pharm-herbal,C1,1.0
pharm-herbal,C0,1.25
pharm-herbal,C0,1.5
pharm-herbal,C1,1.5
pharm-herbal,C1,2.0
pharm-herbal,C0,2.5
pharm-herbal,C0,0.5
pharm-herbal,C1,1.0
pharm-herbal,C3,1.25
pharm-herbal,C0,1.5
pharm-herbal,C0,1.75
pharm-herbal,C0,0.5
pharm-herbal,C1,2.0
pharm-herbal,C0,2.5
pharm-herbal,C0,1.0
pharm-herbal,C0,4.0
pharm-herbal,C0,0.33
pharm-herbal,C3,0.67
pharm-herbal,C3,1.33
pharm-herbal,C0,2.0
pharm-herbal,C0,0.0
pharm-herbal,C3,0.33
pharm-herbal,C2,0.67
pharm-herbal,C0,1.67
pharm-herbal,C0,0.33
pharm-herbal,C1,0.67
pharm-herbal,C0,2.0
pharm-herbal,C0,2.67
pharm-herbal,C0,1.0
pharm-herbal,C3,2.0
pharm-herbal,C3,2.5
pharm-herbal,C0,2.0
pharm-herbal,C1,4.0
pharm-herbal,C0,0.0
pharm-herbal,C0,5.0
pharm-herbal,C0,0.25
pharm-herbal,C1,0.75
pharm-herbal,C1,1.0
pharm-herbal,C0,1.75
pharm-herbal,C1,2.0
pharm-herbal,C1,2.0
pharm-herbal,C0,2.5
pharm-herbal,C3,4.5
pharm-herbal,C1,3.0
pharm-herbal,C0,4.0
pharm-herbal,C1,0.25
pharm-herbal,C1,0.5
pharm-herbal,C1,1.0
pharm-herbal,C2,2.0
pharm-herbal,C0,2.25
pharm-herbal,C0,0.0
pharm-herbal,C1,0.17
pharm-herbal,C1,0.67
pharm-herbal,C1,1.0
pharm-herbal,C0,1.17
pharm-herbal,C2,1.5
pharm-herbal,C2,1.67
pharm-herbal,C0,0.0
pharm-herbal,C3,0.2
pharm-herbal,C3,0.4
pharm-herbal,C3,1.0
pharm-herbal,C1,1.4
pharm-herbal,C0,2.0
pharm-herbal,C4,2.0
pharm-herbal,C3,6.0
pharm-herbal,C0,2.0
pharm-herbal,C0,4.0
pharm-herbal,C0,3.0
pharm-herbal,C0,4.0
pharm-herbal,C0,0.33
pharm-herbal,C4,1.0
pharm-herbal,C0,2.0
pharm-herbal,C0,2.33
pharm-herbal,C3,0.25
pharm-herbal,C0,0.5
pharm-herbal,C0,0.75
pharm-herbal,C2,1.25
pharm-herbal,C3,1.5
pharm-herbal,C1,1.5
pharm-herbal,C0,3.0
pharm-herbal,C1,4.0
pharm-herbal,C1,0.67
pharm-herbal,C0,1.0
pharm-herbal,C0,1.33
pharm-herbal,C1,2.33
pharm-herbal,C0,1.0
pharm-herbal,C1,1.33
pharm-herbal,C1,2.33
pharm-herbal,C1,2.67
pharm-herbal,C0,0.25
pharm-herbal,C0,0.75
pharm-herbal,C0,1.0
pharm-herbal,C4,1.25
pharm-herbal,C0,2.0
pharm-herbal,C0,0.33
pharm-herbal,C0,0.67
pharm-herbal,C1,1.33
pharm-herbal,C0,2.33
pharm-herbal,C0,2.0
pharm-herbal,C1,3.0
pharm-herbal,C4,4.0
pharm-herbal,C0,0.0
pharm-herbal,C0,0.5
pharm-herbal,C3,1.5
pharm-herbal,C0,3.0
pharm-herbal,C3,4.0
pharm-herbal,C1,0.25
pharm-herbal,C1,0.5
pharm-herbal,C0,1.0
pharm-herbal,C0,1.25
pharm-herbal,C1,1.75
pharm-herbal,C1,0.67
pharm-herbal,C3,1.33
pharm-herbal,C0,1.67
pharm-herbal,C0,2.0
pharm-herbal,C0,0.2
pharm-herbal,C0,0.4
pharm-herbal,C0,0.6
pharm-herbal,C2,1.0
pharm-herbal,C3,1.2
pharm-herbal,C0,1.4
pharm-herbal,C0,0.0
pharm-herbal,C0,0.25
pharm-herbal,C1,0.5
pharm-herbal,C0,0.75
pharm-herbal,C0,1.75
pharm-herbal,C1,1.33
pharm-herbal,C0,1.67
pharm-herbal,C0,2.0
pharm-herbal,C0,2.33
pharm-herbal,C4,0.5
pharm-herbal,C0,1.0
pharm-herbal,C0,1.75
pharm-herbal,C1,2.0
pharm-herbal,C0,2.25
pharm-herbal,C0,0.67
pharm-herbal,C1,1.0
pharm-herbal,C3,2.0
pharm-herbal,C3,2.67
pharm-herbal,C3,0.2
pharm-herbal,C0,0.4
pharm-herbal,C1,0.6
pharm-herbal,C0,0.8
pharm-herbal,C1,1.0
pharm-herbal,C3,1.2
pharm-herbal,C2,0.33
pharm-herbal,C0,0.67
pharm-herbal,C0,1.0
pharm-herbal,C0,1.33
pharm-herbal,C0,3.0
pharm-herbal,C3,10.0
pharm-herbal,C0,0.0
pharm-herbal,C0,0.17
pharm-herbal,C1,0.5
pharm-herbal,C0,0.67
pharm-herbal,C0,0.83
pharm-herbal,C1,1.0
pharm-herbal,C1,1.5
pharm-herbal,C3,1.0
pharm-herbal,C0,1.25
pharm-herbal,C3,2.25
pharm-herbal,C4,2.5
pharm-herbal,C3,3.25
pharm-herbal,C0,0.75
pharm-herbal,C0,1.5
pharm-herbal,C1,1.75
pharm-herbal,C1,3.0
pharm-herbal,C0,3.25
pharm-herbal,C1,0.0
pharm-herbal,C1,0.33
pharm-herbal,C1,0.67
pharm-herbal,C1,1.0
pharm-herbal,C3,2.0
pharm-herbal,C0,2.5
pharm-herbal,C1,3.0
pharm-herbal,C1,1.0
pharm-herbal,C1,2.0
pharm-herbal,C3,3.5
pharm-herbal,C0,0.2
pharm-herbal,C0,0.4
pharm-herbal,C0,0.6
pharm-herbal,C0,0.8
pharm-herbal,C2,1.4
pharm-herbal,C3,1.6
pharm-herbal,C0,0.0
pharm-herbal,C0,0.25
pharm-herbal,C0,0.5
pharm-herbal,C0,1.5
pharm-herbal,C2,2.5
pharm-herbal,C3,0.25
pharm-herbal,C0,0.5
pharm-herbal,C0,0.75
pharm-herbal,C0,1.0
pharm-herbal,C1,1.5
pharm-herbal,C0,0.2
pharm-herbal,C1,0.6
pharm-herbal,C1,0.8
pharm-herbal,C1,1.0
pharm-herbal,C3,1.2
pharm-herbal,C0,1.6
pharm-herbal,C3,0.0
pharm-herbal,C4,0.17
pharm-herbal,C1,0.33
pharm-herbal,C1,0.83
pharm-herbal,C1,1.0
pharm-herbal,C1,1.17
pharm-herbal,C0,1.33
pharm-herbal,C0,0.0
pharm-herbal,C4,0.67
pharm-herbal,C1,2.33
pharm-herbal,C3,2.67
pharm-herbal,C4,0.2
pharm-herbal,C0,0.6
pharm-herbal,C1,0.8
pharm-herbal,C0,1.0
pharm-herbal,C0,1.2
pharm-herbal,C3,1.6
pharm-herbal,C0,1.0
pharm-herbal,C3,2.0
stars,C1,0.2
stars,C3,0.6
stars,C1,0.8
stars,C2,1.0
stars,C1,1.2
stars,C2,1.8
stars,C0,0.43
stars,C0,0.57
stars,C2,0.71
stars,C3,0.86
stars,C1,1.0
stars,C2,1.14
stars,C1,1.29
stars,C1,1.57
stars,C3,0.17
stars,C2,0.33
stars,C2,0.67
stars,C4,0.83
stars,C1,1.17
stars,C4,1.33
stars,C0,1.5
stars,C1,0.2
stars,C1,0.4
stars,C3,0.6
stars,C0,0.8
stars,C2,1.2
stars,C1,1.6
stars,C0,0.14
stars,C1,0.29
stars,C1,0.43
stars,C1,0.57
