from_cell,to_cell,allowed
ch|bare|aspect,sh|o|other,1
ch|bare|aspect,sh|o|paradigm,0
ch|bare|clitic,ch|bare|aspect,0
ch|bare|clitic,ch|bare|clitic,1
ch|bare|clitic,ch|bare|e_grade,1
ch|bare|clitic,ch|bare|o_grade,1
ch|bare|clitic,ch|bare|other,1
ch|bare|clitic,ch|bare|paradigm,1
ch|bare|clitic,ch|eo|aspect,0
ch|bare|clitic,ch|eo|clitic,0
ch|bare|clitic,ch|eo|e_grade,0
ch|bare|clitic,ch|eo|o_grade,1
ch|bare|clitic,ch|eo|other,0
ch|bare|clitic,ch|eo|paradigm,0
ch|bare|clitic,ch|e|aspect,1
ch|bare|clitic,ch|e|clitic,1
ch|bare|clitic,ch|e|e_grade,1
ch|bare|clitic,ch|e|o_grade,0
ch|bare|clitic,ch|e|other,1
ch|bare|clitic,ch|e|paradigm,1
ch|bare|clitic,ch|o|aspect,1
ch|bare|clitic,ch|o|clitic,0
ch|bare|clitic,ch|o|e_grade,1
ch|bare|clitic,ch|o|o_grade,1
ch|bare|clitic,ch|o|other,1
ch|bare|clitic,ch|o|paradigm,0
ch|bare|clitic,ok|bare|aspect,0
ch|bare|clitic,ok|bare|clitic,1
ch|bare|clitic,ok|bare|e_grade,1
ch|bare|clitic,ok|bare|o_grade,0
ch|bare|clitic,ok|bare|other,1
ch|bare|clitic,ok|bare|paradigm,1
ch|bare|clitic,ok|eo|aspect,0
ch|bare|clitic,ok|eo|clitic,0
ch|bare|clitic,ok|eo|e_grade,0
ch|bare|clitic,ok|eo|o_grade,0
ch|bare|clitic,ok|eo|other,0
ch|bare|clitic,ok|eo|paradigm,0
ch|bare|clitic,ok|e|aspect,0
ch|bare|clitic,ok|e|clitic,0
ch|bare|clitic,ok|e|e_grade,1
ch|bare|clitic,ok|e|other,1
ch|bare|clitic,ok|e|paradigm,0
ch|bare|clitic,ok|o|aspect,0
ch|bare|clitic,ok|o|e_grade,0
ch|bare|clitic,ok|o|o_grade,1
ch|bare|clitic,ok|o|other,1
ch|bare|clitic,ok|o|paradigm,0
ch|bare|clitic,ot|bare|aspect,0
ch|bare|clitic,ot|bare|clitic,1
ch|bare|clitic,ot|bare|e_grade,1
ch|bare|clitic,ot|bare|o_grade,0
ch|bare|clitic,ot|bare|other,1
ch|bare|clitic,ot|bare|paradigm,1
ch|bare|clitic,ot|eo|aspect,0
ch|bare|clitic,ot|eo|clitic,0
ch|bare|clitic,ot|eo|e_grade,0
ch|bare|clitic,ot|eo|o_grade,1
ch|bare|clitic,ot|eo|other,0
ch|bare|clitic,ot|e|aspect,1
ch|bare|clitic,ot|e|clitic,0
ch|bare|clitic,ot|e|e_grade,0
ch|bare|clitic,ot|e|other,1
ch|bare|clitic,ot|e|paradigm,0
ch|bare|clitic,ot|o|aspect,0
ch|bare|clitic,ot|o|clitic,0
ch|bare|clitic,ot|o|e_grade,0
ch|bare|clitic,ot|o|o_grade,0
ch|bare|clitic,ot|o|other,0
ch|bare|clitic,ot|o|paradigm,0
ch|bare|clitic,qok|bare|aspect,0
ch|bare|clitic,qok|bare|clitic,1
ch|bare|clitic,qok|bare|e_grade,0
ch|bare|clitic,qok|bare|o_grade,0
ch|bare|clitic,qok|bare|other,1
ch|bare|clitic,qok|bare|paradigm,1
ch|bare|clitic,qok|eo|aspect,0
ch|bare|clitic,qok|eo|e_grade,0
ch|bare|clitic,qok|eo|o_grade,0
ch|bare|clitic,qok|eo|other,0
ch|bare|clitic,qok|e|aspect,0
ch|bare|clitic,qok|e|clitic,0
ch|bare|clitic,qok|e|e_grade,1
ch|bare|clitic,qok|e|o_grade,0
ch|bare|clitic,qok|e|other,1
ch|bare|clitic,qok|e|paradigm,0
ch|bare|clitic,qok|o|aspect,0
ch|bare|clitic,qok|o|e_grade,0
ch|bare|clitic,qok|o|o_grade,0
ch|bare|clitic,qok|o|other,0
ch|bare|clitic,qok|o|paradigm,0
ch|bare|clitic,qot|bare|clitic,1
ch|bare|clitic,qot|bare|e_grade,1
ch|bare|clitic,qot|bare|o_grade,0
ch|bare|clitic,qot|bare|other,0
ch|bare|clitic,qot|bare|paradigm,0
ch|bare|clitic,qot|eo|aspect,0
ch|bare|clitic,qot|eo|clitic,0
ch|bare|clitic,qot|eo|e_grade,0
ch|bare|clitic,qot|eo|o_grade,0
ch|bare|clitic,qot|eo|other,0
ch|bare|clitic,qot|e|aspect,1
ch|bare|clitic,qot|e|clitic,0
ch|bare|clitic,qot|e|e_grade,0
ch|bare|clitic,qot|e|other,0
ch|bare|clitic,qot|o|aspect,0
ch|bare|clitic,qot|o|e_grade,0
ch|bare|clitic,qot|o|o_grade,0
ch|bare|clitic,qot|o|other,0
ch|bare|clitic,sh|bare|aspect,0
ch|bare|clitic,sh|bare|clitic,1
ch|bare|clitic,sh|bare|e_grade,0
ch|bare|clitic,sh|bare|o_grade,0
ch|bare|clitic,sh|bare|other,1
ch|bare|clitic,sh|bare|paradigm,0
ch|bare|clitic,sh|eo|aspect,0
ch|bare|clitic,sh|eo|clitic,0
ch|bare|clitic,sh|eo|e_grade,0
ch|bare|clitic,sh|eo|o_grade,0
ch|bare|clitic,sh|eo|other,0
ch|bare|clitic,sh|e|aspect,1
ch|bare|clitic,sh|e|clitic,1
ch|bare|clitic,sh|e|e_grade,1
ch|bare|clitic,sh|e|o_grade,0
ch|bare|clitic,sh|e|other,1
ch|bare|clitic,sh|e|paradigm,0
ch|bare|clitic,sh|o|aspect,0
ch|bare|clitic,sh|o|clitic,0
ch|bare|clitic,sh|o|e_grade,0
ch|bare|clitic,sh|o|o_grade,1
ch|bare|clitic,sh|o|other,0
ch|bare|clitic,sh|o|paradigm,0
ch|bare|e_grade,ch|bare|aspect,1
ch|bare|e_grade,ch|bare|clitic,1
ch|bare|e_grade,ch|bare|e_grade,1
ch|bare|e_grade,ch|bare|o_grade,0
ch|bare|e_grade,ch|bare|other,1
ch|bare|e_grade,ch|bare|paradigm,1
ch|bare|e_grade,ch|eo|aspect,1
ch|bare|e_grade,ch|eo|clitic,0
ch|bare|e_grade,ch|eo|e_grade,1
ch|bare|e_grade,ch|eo|o_grade,1
ch|bare|e_grade,ch|eo|other,1
ch|bare|e_grade,ch|eo|paradigm,0
ch|bare|e_grade,ch|e|aspect,1
ch|bare|e_grade,ch|e|clitic,0
ch|bare|e_grade,ch|e|e_grade,1
ch|bare|e_grade,ch|e|o_grade,0
ch|bare|e_grade,ch|e|other,1
ch|bare|e_grade,ch|e|paradigm,0
ch|bare|e_grade,ch|o|aspect,1
ch|bare|e_grade,ch|o|clitic,0
ch|bare|e_grade,ch|o|e_grade,1
ch|bare|e_grade,ch|o|o_grade,1
ch|bare|e_grade,ch|o|other,1
ch|bare|e_grade,ch|o|paradigm,0
ch|bare|e_grade,ok|bare|aspect,0
ch|bare|e_grade,ok|bare|clitic,1
ch|bare|e_grade,ok|bare|e_grade,1
ch|bare|e_grade,ok|bare|o_grade,0
ch|bare|e_grade,ok|bare|other,1
ch|bare|e_grade,ok|bare|paradigm,1
ch|bare|e_grade,ok|eo|aspect,0
ch|bare|e_grade,ok|eo|clitic,0
ch|bare|e_grade,ok|eo|e_grade,0
ch|bare|e_grade,ok|eo|o_grade,0
ch|bare|e_grade,ok|eo|other,1
ch|bare|e_grade,ok|eo|paradigm,0
ch|bare|e_grade,ok|e|aspect,0
ch|bare|e_grade,ok|e|clitic,0
ch|bare|e_grade,ok|e|e_grade,1
ch|bare|e_grade,ok|e|other,1
ch|bare|e_grade,ok|e|paradigm,0
ch|bare|e_grade,ok|o|aspect,0
ch|bare|e_grade,ok|o|e_grade,0
ch|bare|e_grade,ok|o|o_grade,1
ch|bare|e_grade,ok|o|other,1
ch|bare|e_grade,ok|o|paradigm,0
ch|bare|e_grade,ot|bare|aspect,0
ch|bare|e_grade,ot|bare|clitic,1
ch|bare|e_grade,ot|bare|e_grade,1
ch|bare|e_grade,ot|bare|o_grade,0
ch|bare|e_grade,ot|bare|other,1
ch|bare|e_grade,ot|bare|paradigm,1
ch|bare|e_grade,ot|eo|aspect,1
ch|bare|e_grade,ot|eo|clitic,0
ch|bare|e_grade,ot|eo|e_grade,1
ch|bare|e_grade,ot|eo|o_grade,1
ch|bare|e_grade,ot|eo|other,1
ch|bare|e_grade,ot|e|aspect,1
ch|bare|e_grade,ot|e|clitic,0
ch|bare|e_grade,ot|e|e_grade,1
ch|bare|e_grade,ot|e|other,1
ch|bare|e_grade,ot|e|paradigm,0
ch|bare|e_grade,ot|o|aspect,0
ch|bare|e_grade,ot|o|clitic,0
ch|bare|e_grade,ot|o|e_grade,0
ch|bare|e_grade,ot|o|o_grade,1
ch|bare|e_grade,ot|o|other,1
ch|bare|e_grade,ot|o|paradigm,0
ch|bare|e_grade,qok|bare|aspect,0
ch|bare|e_grade,qok|bare|clitic,1
ch|bare|e_grade,qok|bare|e_grade,1
ch|bare|e_grade,qok|bare|o_grade,0
