token,section,position,relative_position,prev_cell,next_cell,prev_comm,next_comm
dchor,herbal-A,3,0.6,ch|o|o_grade,ch|o|e_grade,C0,C0
dchor,herbal-A,4,0.8,qot|o|aspect,ch|bare|paradigm,C0,C0
dchy,herbal-A,3,1.0,ch|o|other,,C0,UNK
dchod,herbal-A,0,0.0,,qot|e|aspect,UNK,C1
dchaiin,herbal-A,3,0.75,sh|e|e_grade,ch|o|o_grade,C1,C0
dchor,herbal-A,0,0.0,,ch|o|o_grade,UNK,C0
dchor,herbal-A,2,0.5,ch|o|o_grade,ch|e|e_grade,C0,C4
dchol,herbal-A,2,1.0,ch|bare|e_grade,,C0,UNK
dchor,herbal-A,0,0.0,,ok|bare|paradigm,UNK,C2
dsheor,herbal-A,2,0.67,sh|o|o_grade,ch|bare|other,C0,C2
dchor,herbal-A,0,0.0,,ot|bare|e_grade,UNK,C2
dchor,herbal-A,4,1.0,ch|o|other,,C0,UNK
dchey,herbal-A,3,1.0,ok|o|o_grade,,C0,UNK
dshe,herbal-A,4,0.8,qok|o|o_grade,qok|e|other,C0,C1
dchey,herbal-A,0,0.0,,ch|o|other,UNK,C0
dchal,herbal-A,2,1.0,ch|o|other,,C0,UNK
dchor,herbal-A,2,0.33,ch|o|e_grade,ot|o|o_grade,C0,C0
dchckhy,herbal-A,0,0.0,,sh|o|other,UNK,C0
dchain,herbal-A,1,0.5,ch|e|paradigm,qot|bare|paradigm,C0,C1
dchor,herbal-A,0,0.0,,ch|o|o_grade,UNK,C0
dshey,herbal-A,3,1.0,sh|bare|other,,C1,UNK
dshor,herbal-A,1,0.33,ch|o|other,sh|e|e_grade,C0,C1
dshey,herbal-A,2,0.67,sh|o|o_grade,ch|o|e_grade,C0,C0
dchey,herbal-A,0,0.0,,ch|e|aspect,UNK,C1
dchdy,herbal-A,1,0.2,ch|eo|other,ok|e|aspect,C0,C1
dchy,herbal-A,4,1.0,ch|bare|e_grade,,C0,UNK
dchey,herbal-A,0,0.0,,sh|o|other,UNK,C0
dchy,herbal-A,0,0.0,,ch|bare|other,UNK,C2
dchy,herbal-A,5,0.56,sh|bare|e_grade,sh|bare|e_grade,C0,C0
dshy,herbal-A,6,0.67,ch|bare|e_grade,ch|bare|e_grade,C0,C0
dchy,herbal-A,9,1.0,ch|eo|e_grade,,C3,UNK
dchokchy,herbal-A,2,0.4,ch|bare|e_grade,sh|o|e_grade,C0,C0
dsho,herbal-A,3,0.6,ch|o|other,ch|o|other,C0,C0
dsho,herbal-A,0,0.0,,ch|bare|other,UNK,C2
dsho,herbal-A,1,0.5,ch|e|e_grade,ot|bare|paradigm,C4,C2
dshe,herbal-A,0,0.0,,ch|o|other,UNK,C0
dchor,herbal-A,0,0.0,,ch|o|o_grade,UNK,C0
dchor,herbal-A,1,0.33,ch|o|other,ch|bare|other,C0,C2
dcheey,herbal-A,0,0.0,,ch|bare|other,UNK,C2
dchorol,herbal-A,0,0.0,,sh|o|e_grade,UNK,C0
dchey,herbal-A,0,0.0,,ch|o|o_grade,UNK,C0
dcheey,herbal-A,0,0.0,,ok|e|aspect,UNK,C1
dchoty,herbal-A,1,1.0,ch|o|other,,C0,UNK
dshor,herbal-A,0,0.0,,ch|o|other,UNK,C0
dsho,herbal-A,2,1.0,ch|bare|other,,C2,UNK
dchcthy,herbal-A,3,1.0,sh|bare|clitic,,C2,UNK
dshan,herbal-A,2,1.0,qot|bare|other,,C1,UNK
dchaiin,herbal-A,0,0.0,,ch|e|e_grade,UNK,C4
dchy,herbal-A,1,1.0,sh|bare|e_grade,,C0,UNK
dchor,herbal-A,0,0.0,,ch|o|other,UNK,C0
dchy,herbal-A,1,1.0,ch|bare|e_grade,,C0,UNK
dchokchy,herbal-A,0,0.0,,ch|o|other,UNK,C0
dchold,herbal-A,3,1.0,ch|o|other,,C0,UNK
dchytchy,herbal-A,0,0.0,,ot|bare|clitic,UNK,C2
dchor,herbal-A,2,0.5,ch|o|other,ch|bare|e_grade,C0,C0
dshor,herbal-A,0,0.0,,sh|o|o_grade,UNK,C0
dshor,herbal-A,1,1.0,sh|o|o_grade,,C0,UNK
dchor,herbal-A,0,0.0,,qot|o|o_grade,UNK,C0
dshdy,herbal-A,0,0.0,,ch|bare|aspect,UNK,C2
dchdy,herbal-A,0,0.0,,ch|bare|aspect,UNK,C2
dchdar,herbal-A,0,0.0,,ch|e|aspect,UNK,C1
dchdaldyykedy,herbal-A,1,0.25,sh|e|aspect,qok|e|aspect,C1,C1
dchedy,herbal-A,2,1.0,ch|bare|other,,C2,UNK
dshedy,herbal-A,0,0.0,,ch|e|e_grade,UNK,C4
dcheey,herbal-A,0,0.0,,ch|o|o_grade,UNK,C0
dshey,herbal-A,0,0.0,,ch|e|e_grade,UNK,C4
dshedy,herbal-A,0,0.0,,qot|e|aspect,UNK,C1
dshedy,herbal-A,0,0.0,,ch|e|other,UNK,C3
dchy,herbal-A,2,1.0,ch|e|e_grade,,C4,UNK
dshor,herbal-A,0,0.0,,ch|o|o_grade,UNK,C0
dchckhy,herbal-A,1,0.2,ch|o|o_grade,qok|bare|e_grade,C0,C1
dshor,herbal-A,0,0.0,,ch|bare|other,UNK,C2
dshor,herbal-A,0,0.0,,sh|bare|e_grade,UNK,C0
dcholdy,herbal-A,1,1.0,ch|o|o_grade,,C0,UNK
dshy,herbal-A,2,1.0,ch|o|o_grade,,C0,UNK
dsheol,herbal-A,0,0.0,,ch|bare|e_grade,UNK,C0
dchedy,herbal-A,0,0.0,,ch|e|other,UNK,C3
dshy,herbal-A,0,0.0,,ch|bare|other,UNK,C2
dsheey,herbal-A,0,0.0,,sh|bare|e_grade,UNK,C0
dsholy,herbal-A,0,0.0,,sh|e|other,UNK,C1
dshedy,herbal-A,0,0.0,,sh|e|e_grade,UNK,C1
dchedy,herbal-A,0,0.0,,ch|bare|other,UNK,C2
dchol,herbal-A,1,1.0,ch|o|other,,C0,UNK
dchodaiin,herbal-A,2,1.0,ch|o|aspect,,C0,UNK
dchey,herbal-A,1,0.5,ch|e|e_grade,ch|o|aspect,C4,C0
dcheeey,herbal-A,3,0.6,ch|o|e_grade,qot|bare|e_grade,C0,C0
dcheo,herbal-A,0,0.0,,ch|e|e_grade,UNK,C4
dshodchor,herbal-A,0,0.0,,ch|o|o_grade,UNK,C0
dchor,herbal-A,1,0.5,sh|o|other,ch|eo|other,C0,C0
