x,y,section,trajectory
7.2572985,8.203207,pharm-herbal,C1 -> C3 -> C0 -> C0
7.2872543,8.092069,pharm-herbal,C0 -> C0 -> C0 -> C2 -> C3 -> C0
7.2325435,8.184066,pharm-herbal,C0 -> C0 -> C1 -> C0 -> C0
5.0260835,3.1650076,pharm-herbal,C1 -> C0 -> C0 -> C0
7.5142784,8.101633,pharm-herbal,C4 -> C0 -> C0 -> C1 -> C0
7.431625,8.022434,pharm-herbal,C0 -> C1 -> C3 -> C3
7.3690977,7.9395394,pharm-herbal,C3 -> C0 -> C1 -> C0 -> C1 -> C3
5.172261,5.165945,pharm-herbal,C2 -> C0 -> C0 -> C0
-5.244793,25.579138,pharm-herbal,C0 -> C3
7.2427444,8.261474,pharm-herbal,C0 -> C0 -> C1 -> C0 -> C0 -> C1 -> C1
7.3952727,8.185154,pharm-herbal,C3 -> C0 -> C3 -> C4 -> C3
7.5182605,8.026744,pharm-herbal,C0 -> C0 -> C1 -> C1 -> C0
30.276094,-0.35889918,pharm-herbal,C1 -> C1 -> C1 -> C1
6.8566065,8.440469,pharm-herbal,C3 -> C0 -> C1
6.711288,8.381945,pharm-herbal,C1 -> C1 -> C3
7.3282204,8.18048,pharm-herbal,C0 -> C0 -> C0 -> C0 -> C2 -> C3
5.9337716,3.0684433,pharm-herbal,C0 -> C0 -> C0 -> C0 -> C2
7.167732,8.290472,pharm-herbal,C3 -> C0 -> C0 -> C0 -> C1
7.373295,8.132925,pharm-herbal,C0 -> C1 -> C1 -> C1 -> C3 -> C0
7.3504763,8.302958,pharm-herbal,C3 -> C4 -> C1 -> C1 -> C1 -> C1 -> C0
7.229005,8.233543,pharm-herbal,C0 -> C4 -> C1 -> C3
7.3804255,8.298432,pharm-herbal,C4 -> C0 -> C1 -> C0 -> C0 -> C3
-5.23532,25.588367,pharm-herbal,C0 -> C3
7.467655,8.36693,stars,C1 -> C3 -> C1 -> C2 -> C1 -> C2
7.2386746,8.355672,stars,C0 -> C0 -> C2 -> C3 -> C1 -> C2 -> C1 -> C1
7.4257646,8.342219,stars,C3 -> C2 -> C2 -> C4 -> C1 -> C4 -> C0
7.314617,8.305486,stars,C1 -> C1 -> C3 -> C0 -> C2 -> C1
7.3570404,8.284006,stars,C0 -> C1 -> C1 -> C1 -> C3 -> C1 -> C1 -> C1
7.319201,8.38699,stars,C2 -> C1 -> C1 -> C1 -> C1 -> C1 -> C4 -> C2 -> C1
7.2819147,8.529688,stars,C1 -> C1 -> C0 -> C1 -> C1
7.297407,8.452053,stars,C0 -> C0 -> C1 -> C4 -> C1 -> C1 -> C1 -> C4 -> C1
7.3068657,8.511692,stars,C1 -> C1 -> C1 -> C2 -> C1 -> C2
7.4518743,8.348251,stars,C0 -> C2 -> C3 -> C3 -> C2 -> C1 -> C1 -> C3
7.2924013,8.586515,stars,C2 -> C4 -> C1 -> C1 -> C1 -> C1 -> C3 -> C2
7.3367724,8.4492855,stars,C1 -> C3 -> C0 -> C1
-21.170952,-9.763051,stars,C1 -> C1 -> C1 -> C1 -> C1
7.3840084,8.331239,stars,C2 -> C1 -> C3 -> C1 -> C1 -> C2 -> C1
