num,arabic_name,english_name,latin_binomial,header_full,is_hot,is_cold,is_wet,is_dry,degree,temperament_text,nature_text,actions_text,sections_present
33,,Hirdhaun Lizard,Hemidactylus flavivirdis,Hirdhaun Lizard Hemidactylus flavivirdis,False,False,False,False,,,Hirdhaunis nothing but mastigure and its temperament is similar to that of monitor. Lizard has more similarity with monitor because the latter feeds on it.,,Eye|Nature
34,/furshuf,Artichoke,Cynara scolymus Linn.,/furshuf Artichoke Cynara scolymus Linn.,True,True,True,False,second degree,"It is moderately hot and moist in the second degree. According to some physicians it is cold and moist. Masih statesthatit is like common asparagus(hilyiin)in actions and hot and moist in the first degree. Other physiciansbelieveit to be hot in the first and moist in the second degree. Galen reportedly stated it to he hot in the last of the second degree but, in my opinion,hurshufis of varions kinds having different temperaments.","Hurshuf isa kind ofkankar,","It is mildly detergent, desiccant and attenuant. Some physicians say that it produces black bile but it is far from truth.",Cosmetics|Food|Head|Nature|Properties|Swellings|Temperament|Ulcers
35,/furf Garden cress,,Lapidium sativum Linn.,/furf Garden cress Lapidium sativum Linn.,True,False,False,True,third degree,lfurfis hot and dry in the third degree.,"Hurf is well known. Dioscorides said that the best plant of cress which we have ever seenis found in Babylone. Its 164 ﺻﻔﺤﻪ / ﻛﺘﺎ / ﻧﻴﺎﻛﺎ ﭘﺰﺷﻜﻲ ﺗﺤﻘﻴﻖ ﻛﻼﺳﻬﺎ ﻫﻤﺪ ﻧﺸﮕﺎ ﻧﮕﻠﻴﴘ ﺗﺮﺟﻤﻪ ﻃﺐ ﻗﺎﻧﻮ ﺳﻨﺘﻲ ﻃﺐ ﻣﻮﳾ ﮔﺮ / ﺑﻬﺸﺘﻲ ﺷﻬﻴﺪ ﭘﺰﺷﻜﻲ ﻋﻠﻮ ﻧﺸﮕﺎ SECTION VI 16S potency is similar to the potency of mustard and radish seeds taken together. Some physicians believethatmustard and rocket seeds when taken together, become","It is dissolvent, maturative with .some laxity and absorbs the pus formed in the cavity.",Cosmetics|Excretion|Food|Joints|Nature|Poisons|Properties|Swellings|Temperament|Ulcers
36,lfarmal Syrian rue,,Peganum harmala Linn,lfarmal Syrian rue Peganum harmala Linn,False,False,False,False,,,"Syrian rue is well known. Properties"" It is erosive andattenuant. 165 ﺻﻔﺤﻪ / ﻛﺘﺎ / ﻧﻴﺎﻛﺎ ﭘﺰﺷﻜﻲ ﺗﺤﻘﻴﻖ ﻛﻼﺳﻬﺎ ﻫﻤﺪ ﻧﺸﮕﺎ ﻧﮕﻠﻴﴘ ﺗﺮﺟﻤﻪ ﻃﺐ ﻗﺎﻧﻮ ﺳﻨﺘﻲ ﻃﺐ ﻣﻮﳾ ﮔﺮ / ﺑﻬﺸﺘﻲ ﺷﻬﻴﺪ ﭘﺰﺷﻜﻲ ﻋﻠﻮ ﻧﺸﮕﺎ 166 DISCOURSE 1/",,Excretion|Eye|Food|Head|Joints|Nature|Substitute
37,lfazii',Dill,Anethum graveolens Linn.,lfazii' Dill Anethum graveolens Linn.,False,False,False,False,,,Dill is theziifra(goldy-locks)which is also called Diniirwaih..We have already dealt with itelsewhere.,,Nature
38,lfaziizal-sakhr Stone flower Permelea perlataAch.,,,lfaziizal-sakhr Stone flower Permelea perlataAch.,False,True,False,False,,,Galen said that stone flower is similar to duck weed and it grows on the surface of the rock. It is desiccant for two reasons because it has the power of detergence and cooling. Its properties of detergence and desiccation come from the rock and its cooling effect is due to its water contents.,It is desiccant and cooling. Dioscorides stated thatit stops bleeding but I am not of the opinion.,Nature|Properties
39,Hasak Caltrops Tribulusterrestris Linn.,,,Hasak Caltrops Tribulusterrestris Linn.,True,True,True,True,first degree,According to Dioscorides these two kinds of hasakare coldanddry but other physiciansbelieveitto be hot in the beginningof the first degree and dry in the first degree. The latter description applies well to thebasakfound in our country.,"Hasak is of two kinds (a) the wild one is more earthy and (b) cultivated one is more watery.In short, the moist variety is not much cold and the dry variety is not less cold.","Because of its astringence, maturation and laxity it prevents the infiltration of (corrupt) matters towards organs.",Chest|Excretion|Eye|Nature|Poisons|Properties|Swellings|Temperament|Ulcers
40,Hashishab al-zujdjCommon pellitoryParietariaofficinalis,Linn,,Hashishab al-zujdjCommon pellitoryParietariaofficinalis Linn,False,False,False,False,,,Common pellitory is a herb which is used to cleanglasses.,"Itis an astringentwithsome moistness and possesses adhesive, cleansing and laxative properties.",Chest|Excretion|Head|Joints|Nature|Properties|Swellings
41,lfu4atj Ophthalmic barberry BerberrisaristataDc.,,,lfu4atj Ophthalmic barberry BerberrisaristataDc.,True,True,False,True,second degree,lfu<Jo<Jis moderately hot and coldbut dry in the second degree.,"Most probably the Indian variety of ophthalmic ber­ berry is the extract offilzahraj.Itisadultratedtactfully by<lj:cocting it with the extract ofzarishk(barberries) in water till it is condensed. Its potency now becomes similar to that offiery,tenuous and earthy cold substances. Makki is a manufactured variety. According Dios­ corides it is a thorny plant having branches ofabout three arms in leng",The Indian variety is dissolvent and a little astrin­ gent. It is useful in all types of bleeding. Its power of dissolution is more than its astringency which is in the second degree. The astrin­ gency is. however. less than its desiccant property. It also possesses the power of attenuation.,Chest|Choice|Cosmetics|Excretion|Eye|Food|Head|Joints|Nature|Poisons|Properties|Swellings|Temperament|Ulcers
42,"lfulbah Fenugreek Trigonellafaenum graeceum Linn,",,,"lfulbah Fenugreek Trigonellafaenum graeceum Linn,",True,False,False,True,first degree,It is hot in the last phaseof the first degree and dry in the first degree but not free from foreign humours.,lfulbahis a well known (vegetable).,"It is maturative and laxative because itpossesses hotness side by sideviscositywhich resists itsilleffects.Its hoteffectsare elicited gently. Though its chymeisnot lessinquantity, it is of inferior quality. 168 ﺻﻔﺤﻪ / ﻛﺘﺎ / ﻧﻴﺎﻛﺎ ﭘﺰﺷﻜﻲ ﺗﺤﻘﻴﻖ ﻛﻼﺳﻬﺎ ﻫﻤﺪ ﻧﺸﮕﺎ ﻧﮕﻠﻴﴘ ﺗﺮﺟﻤﻪ ﻃﺐ ﻗﺎﻧﻮ ﺳﻨﺘﻲ ﻃﺐ ﻣﻮﳾ ﮔﺮ / ﺑﻬﺸﺘﻲ ﺷﻬﻴﺪ ﭘﺰﺷﻜﻲ ﻋﻠﻮ ﻧﺸﮕﺎ SECTION VI 169",Chest|Cosmetics|Excretion|Eye|Food|Head|Nature|Properties|Swellings|Temperament|Ulcers
43,!falbib An Indian drug like hermodactyle,,,!falbib An Indian drug like hermodactyle,True,False,False,True,second degree,It is hot and dry in the second degree.,Halbibis an Indian drug resemblingwhite hermodactyle.,,Excretion|Joints|Nature|Temperament
44,!filtit Assafoetida Ferulaassofoetida Linn.,,,!filtit Assafoetida Ferulaassofoetida Linn.,True,False,False,True,fourth degree,"Itis hot in the beginning of fourth degree and dry in the second degree,","Dioscorides states in his bookthat it is the gum of assafoetida plant which exudes on scarifying the root and stalk. Tasting of assafoetida, procured from the townQurniiicreatesvesicles on the whole tongue. Itsodour is notoffensiveand, therefore, the taste does not bringabout an appreciable change in the body's smell. Another kind of assafoetida known as Syrian assafoetida is obtained from Syria. ","Assafoetida is carminative, and expels gases by its dissolvingpropertybut is flatulent also. It stops bleeding and dissolvesthe coagulated blood in the abdomenal cavity.",Chest|Choice|Cosmetics|Excretion|Eye|Fevers|Food|Head|Joints|Nature|Poisons|Properties|Swellings|Temperament|Ulcers
45,lfalziin,Snail,Turbinella rapa,lfalziin Snail Turbinella rapa,False,False,False,False,,,Snail is a kindofshells.,It reduces the hotnessof the blood.,Eye|Nature|Properties
46,lfimtir,Ass,Equs assinus,lfimtir Ass Equs assinus,False,False,False,False,,,,,Cosmetics|Excretion|Head|Joints|Swellings|Ulcers
47,Hummiid Sour dock,,Rumex crispus Linn.,Hummiid Sour dock Rumex crispus Linn.,False,True,False,True,second degree,Hummdd is cold and dry in the second degree and its seeds are cold in the first degree and dry in the second degree.,"Dioscordides statesthatthere are many varieties of this plant. Some of them are the following:(i)A variety which grows in grassy land has long leaves with sharp ends. It also grows in gardens and, when cooked, becomes tasty. (ii) Another variety which grows in marshy lands has hard and sharp edged leaves. It is known as afsiiliibin.(iii) A variety which is wild, smooth and similar to the great pla","It is astringent but the insipid one has lessefficacy of dissolution. Sour variety is most astringent, butthat which is not much sour, is nutritious. Thelatteris similar to endive. All varieties remove yellow bile. Thehumour produced by it is good.",Cosmetics|Excretion|Food|Head|Nature|Poisons|Properties|Swellings|Temperament|Ulcers
48,l;lamiim,Pigeon,Calumba livia,l;lamiim Pigeon Calumba livia,True,False,False,False,,The young ones have hotness and superfluous humidity while the grown up birds are less in hotness and moistness. Their eggs are very hot.,The pigeon is a well known bird.,Young pigeon's flesh is dense due to its superfluous bumidity.,Eye|Food|Head|Nature|Properties|Temperament
49,,Hamiimd Cardamom,Amomum cardamomum Linn.,Hamiimd Cardamom Amomum cardamomum Linn.,True,False,True,True,second degree,It is hot and dry in the second degree.,l;lamiimiiis a plant with a cluster of branches interlaced with each other. It bas small flowers resemblingCassiacinnamon in colour. Its leaves are like those of white bryoni having golden colour but its wood is ruby coloured and has a pleasant smell. There are two kinds ofI;ramiimii(a) one which grows in moist places and smells like common rue and (b) the second one calledQibJiis neither long nor,"It softens and matures thematter,has some astrin­ gency and itsefficacyis like that of sweet scented flag. The latter is more desiccant while{lamiimiiis more digestive and maturative.",Chest|Choice|Excretion|Eye|Food|Head|Joints|Nature|Poisons|Properties|Swellings|Temperament
50,Himmas Chick pea Cieerarietinum Linn.,,,Himmas Chick pea Cieerarietinum Linn.,True,False,False,True,first degree,The white chick pea is hot and dry in the first degree. The black variety is considered moreeffective.,"Hlmmas is of various kinds: (a) white (b) red (c) black (d) pea-coloured (e) cultivated and (f)' wild. The wild variety is most pungent, bitter and hot. It has theeffectslike those of cultivated chick pea but the latter is more nutritious.","Both the varietiesi.e,black and white, are flatulent, laxative and erosive. These are more nutritive and compact than broad bean. No other substance is considered more nourishing for the lungs as chick pea. The freshhimmas produces more superfluous matters than the dry one.",Chest|Cosmetics|Excretion|Food|Head|Joints|Nature|Properties|Swellings|Temperament|Ulcers
51,lJinnii',Henna,Lawsonia alba Linn.,lJinnii' Henna Lawsonia alba Linn.,False,True,False,True,first degree,Henna is cold in the first degree and dry in the second degree.,"Henna is well known. Dioscorides stated that it is a plant with branches bearing leaves resembling the olive leaves but the former are wider, softer and dark green. Itsflowersare odorous like those of rockmoss and its seeds resemble the seeds of a plant called aqtiiwhich is imported from tropical countries.","It hasdissolving,astringent and desiccant actions without any illeffect.Moreover it is carminative and vaso-dilator. Its oil is warming and laxative. 175 ﺻﻔﺤﻪ / ﻛﺘﺎ / ﻧﻴﺎﻛﺎ ﭘﺰﺷﻜﻲ ﺗﺤﻘﻴﻖ ﻛﻼﺳﻬﺎ ﻫﻤﺪ ﻧﺸﮕﺎ ﻧﮕﻠﻴﴘ ﺗﺮﺟﻤﻪ ﻃﺐ ﻗﺎﻧﻮ ﺳﻨﺘﻲ ﻃﺐ ﻣﻮﳾ ﮔﺮ / ﺑﻬﺸﺘﻲ ﺷﻬﻴﺪ ﭘﺰﺷﻜﻲ ﻋﻠﻮ ﻧﺸﮕﺎ 176 DfSCOURSE II",Chest|Cosmetics|Excretion|Head|Joints|Nature|Properties|Swellings|Temperament|Ulcers
52,Handaquqa Blue melilote,,Trigonefla corniculata Linn.,Handaquqa Blue melilote Trigonefla corniculata Linn.,True,False,False,True,second degree,Ibn Juraij described it to be hot and dry in the last stage of the second degree. According to Ibn Maswaih it is hot in the middle stage of the second degree but the cultivated variety is likely to be hot in the last stage of the first degree.,Handaqaqa is aplantwhich is of three varieties: (a) wild (b) cultivated and (c) Egyptian. Bread is made from the flour of its seeds.,The cultivated blue melilote is moderately deter­ gent and desiccant. Wild variety is astringent with some warmth and its oil is suitable for (relieving) thick gases.,Chest|Cosmetics|Excretion|Eye|Fevers|Food|Head|Joints|Nature|Poisons|Properties|Temperament|Ulcers
53,Hintah Wheat Triticumsativum Lam.,,,Hintah Wheat Triticumsativum Lam.,True,True,True,False,first degree,Wheat is hot in the first degree andmoderate in moistness and dryness. Roasted flour has a little dryness.,,"The large and reddish wheat is very nutritive. Boiled wheat is slow to digest and flatulentbut if digested fully, it becomes nutritive. Its fine flour is similar to the starchbut is (intemperament) ratherwarmer. The flour of wheat, which hasnaturalviscosity, is different from the flour which is artificially made viscous. Thelatter is not like thenaturalviscous flour. Theroastedflour of wheat is sl",Choice|Cosmetics|Excretion|Food|Properties|Temperament
54,Hanzal Colocyntb Citrulluscolocynthis Schrad.,,,Hanzal Colocyntb Citrulluscolocynthis Schrad.,True,True,True,True,second degree,Hanzel is hot and dry in the second degree. According to Al-Kindi it is cold and moist but this is far fromtruth.,"Hanzel isof two kinds (a) male and (b) female. The male hanzal is fibrous and female is flabby, white and soft.","Hamal is dissolvent, erosive and most absorbent and its tender leaves stop bleeding.",Chest|Choice|Cosmetics|Excretion|Food|Head|Joints|Nature|Poisons|Properties|Swellings|Temperament
55,lfiir White dammer,,Vateria indica Linn.,lfiir White dammer Vateria indica Linn.,False,False,False,True,,White dammer is moderate but slightly dry.,White dammer is a common plant.Itis saidthatthe gum of the Roman kind of white dammer is calledkiihrabii(yellow amber). We have assignedespeciallya separate heading forkiihrabii.,Itis tenuous but notseverelyhot.,Excretion|Eye|Head|Joints|Nature|Properties|Temperament
56,lfiiri-riimi Roman white dammer,,,lfiiri-riimi Roman white dammer,False,False,False,False,third degree,Itis highly warming in the third degree and desiccant in the first degree. Its flower and gum are also highly warming.,Roman white dammer is also calledukriifas.,,Head|Nature|Temperament
57,Hayy al 'iilam House leek Sempervivumtactorium Linn.,,,Hayy al 'iilam House leek Sempervivumtactorium Linn.,False,False,False,False,,,Itissaqii{iinwhich we willdiscuss under the letterSin. 179 ﺻﻔﺤﻪ / ﻛﺘﺎ / ﻧﻴﺎﻛﺎ ﭘﺰﺷﻜﻲ ﺗﺤﻘﻴﻖ ﻛﻼﺳﻬﺎ ﻫﻤﺪ ﻧﺸﮕﺎ ﻧﮕﻠﻴﴘ ﺗﺮﺟﻤﻪ ﻃﺐ ﻗﺎﻧﻮ ﺳﻨﺘﻲ ﻃﺐ ﻣﻮﳾ ﮔﺮ / ﺑﻬﺸﺘﻲ ﺷﻬﻴﺪ ﭘﺰﺷﻜﻲ ﻋﻠﻮ ﻧﺸﮕﺎ 180,,Nature
